FolderNode,totalNodeCount,packageNodeCount,SPDXNodeCount
v1.18.20,225,152,73
v1.19.12,194,117,77
v1.19.13,203,116,87
v1.19.14,203,116,87
v1.19.15,203,116,87
v1.19.16,203,116,87
v1.20.10,203,116,87
v1.20.11,203,116,87
v1.20.12,203,116,87
v1.20.13,203,116,87
v1.20.14,203,116,87
v1.20.15,204,116,88
v1.20.8,194,117,77
v1.20.9,203,116,87
v1.21.10,223,121,102
v1.21.11,223,121,102
v1.21.12,223,121,102
v1.21.13,223,121,102
v1.21.14,223,121,102
v1.21.2,214,126,88
v1.21.3,221,121,100
v1.21.4,221,121,100
v1.21.5,221,121,100
v1.21.6,221,121,100
v1.21.7,221,121,100
v1.21.8,221,121,100
v1.21.9,223,121,102
v1.22.0,231,131,100
v1.22.0-alpha.3,219,131,88
v1.22.0-beta.0,224,136,88
v1.22.0-beta.1,251,131,120
v1.22.0-beta.2,231,131,100
v1.22.0-rc.0,231,131,100
v1.22.1,231,131,100
v1.22.10,233,131,102
v1.22.11,233,131,102
v1.22.12,233,131,102
v1.22.13,233,131,102
v1.22.14,233,131,102
v1.22.15,233,131,102
v1.22.16,233,131,102
v1.22.17,233,131,102
v1.22.2,231,131,100
v1.22.3,231,131,100
v1.22.4,231,131,100
v1.22.5,231,131,100
v1.22.6,233,131,102
v1.22.7,233,131,102
v1.22.8,233,131,102
v1.22.9,233,131,102
v1.23.0,246,136,110
v1.23.0-alpha.1,231,131,100
v1.23.0-alpha.2,231,131,100
v1.23.0-alpha.3,231,131,100
v1.23.0-alpha.4,235,131,104
v1.23.0-beta.0,246,136,110
v1.23.0-rc.0,246,136,110
v1.23.0-rc.1,246,136,110
v1.23.1,246,136,110
v1.23.10,248,136,112
v1.23.11,248,136,112
v1.23.12,248,136,112
v1.23.13,248,136,112
v1.23.14,248,136,112
v1.23.15,248,136,112
v1.23.16,248,136,112
v1.23.17,248,136,112
v1.23.2,248,136,112
v1.23.3,248,136,112
v1.23.4,248,136,112
v1.23.5,248,136,112
v1.23.6,248,136,112
v1.23.7,248,136,112
v1.23.8,248,136,112
v1.23.9,248,136,112
v1.24.0,248,136,112
v1.24.0-alpha.1,246,136,110
v1.24.0-alpha.2,248,136,112
v1.24.0-alpha.3,248,136,112
v1.24.0-alpha.4,248,136,112
v1.24.0-beta.0,248,136,112
v1.24.0-rc.0,248,136,112
v1.24.0-rc.1,248,136,112
v1.24.1,248,136,112
v1.24.10,248,136,112
v1.24.11,248,136,112
v1.24.12,298,186,112
v1.24.13,418,306,112
v1.24.14,418,306,112
v1.24.15,418,306,112
v1.24.16,418,306,112
v1.24.17,418,306,112
v1.24.2,248,136,112
v1.24.3,248,136,112
v1.24.4,248,136,112
v1.24.5,248,136,112
v1.24.6,248,136,112
v1.24.7,248,136,112
v1.24.8,248,136,112
v1.24.9,248,136,112
v1.25.0,243,131,112
v1.25.0-alpha.1,248,136,112
v1.25.0-alpha.2,248,136,112
v1.25.0-alpha.3,248,136,112
v1.25.0-beta.0,243,131,112
v1.25.0-rc.0,243,131,112
v1.25.0-rc.1,243,131,112
v1.25.1,243,131,112
v1.25.10,413,301,112
v1.25.11,413,301,112
v1.25.12,413,301,112
v1.25.13,413,301,112
v1.25.14,413,301,112
v1.25.2,243,131,112
v1.25.3,243,131,112
v1.25.4,243,131,112
v1.25.5,243,131,112
v1.25.6,243,131,112
v1.25.7,243,131,112
v1.25.8,293,181,112
v1.25.9,413,301,112
v1.26.0,243,131,112
v1.26.0-alpha.1,243,131,112
v1.26.0-alpha.2,243,131,112
v1.26.0-alpha.3,243,131,112
v1.26.0-beta.0,243,131,112
v1.26.0-rc.0,243,131,112
v1.26.0-rc.1,243,131,112
v1.26.1,243,131,112
v1.26.2,243,131,112
v1.26.3,293,181,112
v1.26.4,413,301,112
v1.26.5,413,301,112
v1.26.6,413,301,112
v1.26.7,413,301,112
v1.26.8,413,301,112
v1.26.9,413,301,112
v1.27.0,340,241,99
v1.27.0-alpha.1,243,131,112
v1.27.0-alpha.2,243,131,112
v1.27.0-alpha.3,243,131,112
v1.27.0-beta.0,244,145,99
v1.27.0-rc.0,244,145,99
v1.27.0-rc.1,340,241,99
v1.27.1,340,241,99
v1.27.2,340,241,99
v1.27.3,340,241,99
v1.27.4,340,241,99
v1.27.5,340,241,99
v1.27.6,340,241,99
v1.28.0,340,241,99
v1.28.0-alpha.1,388,289,99
v1.28.0-alpha.2,388,289,99
v1.28.0-alpha.3,388,289,99
v1.28.0-alpha.4,388,289,99
v1.28.0-beta.0,340,241,99
v1.28.0-rc.0,340,241,99
v1.28.0-rc.1,340,241,99
v1.28.1,340,241,99
v1.28.2,340,241,99
v1.29.0-alpha1,340,241,99
