VERSION,COMBINED
v1.24.6,libc62.31-13+deb11u42.31-13+deb11u7debCVE-2023-4911High
v1.26.1,libc62.31-13+deb11u4(won't fix)debCVE-2023-4813Medium
v1.24.15,libc62.31-13+deb11u4(won't fix)debCVE-2023-4806Medium
v1.25.12,libc62.31-13+deb11u4 debCVE-2019-9192Negligible
v1.26.8,libc62.31-13+deb11u4 debCVE-2019-1010025Negligible
v1.24.12,libc62.31-13+deb11u4 debCVE-2019-1010024Negligible
v1.25.10,libc62.31-13+deb11u4 debCVE-2019-1010023Negligible
v1.23.17,libc62.31-13+deb11u4 debCVE-2019-1010022Negligible
v1.23.17,libc62.31-13+deb11u4 debCVE-2018-20796Negligible
v1.23.10,libc62.31-13+deb11u4 debCVE-2010-4756Negligible
v1.25.14,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.24.0-alpha.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.24.0-alpha.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.23.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.25.9,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.0-rc.0,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.0-rc.0,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.23.11,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.23.4,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.24.9,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.24.9,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.24.1,libssl1.11.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.24.11,libssl1.11.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.26.0,libssl1.11.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.23.17,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.23.10,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.23.10,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.23.9,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.24.6,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.6,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.23.6,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.23.2,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.24.1,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.26.2,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.26.7,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.24.16,openssl1.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.24.14,openssl1.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.24.14,openssl1.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.24.0-alpha.2,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.24.0-alpha.2,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-44487High
v1.23.1,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-39325High
v1.23.1,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.7.0go-moduleCVE-2022-41723High
v1.24.0-beta.0,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.13.0go-moduleCVE-2023-3978Medium
v1.24.0-beta.0,k8s.io/kubernetesv1.26.11.26.8go-moduleCVE-2023-3955High
v1.24.11,k8s.io/kubernetesv1.26.11.26.6go-moduleCVE-2023-2728Medium
v1.24.11,k8s.io/kubernetesv1.26.11.26.6go-moduleCVE-2023-2727Medium
v1.23.15,k8s.io/kubernetesv1.26.11.26.5go-moduleCVE-2023-2431Medium
v1.24.7,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.24.7,libc62.31-13+deb11u5(won't fix)debCVE-2023-4813Medium
v1.24.0-beta.0,libc62.31-13+deb11u5(won't fix)debCVE-2023-4806Medium
v1.25.11,libc62.31-13+deb11u5 debCVE-2019-9192Negligible
v1.24.4,libc62.31-13+deb11u5 debCVE-2019-1010025Negligible
v1.24.4,libc62.31-13+deb11u5 debCVE-2019-1010024Negligible
v1.24.15,libc62.31-13+deb11u5 debCVE-2019-1010023Negligible
v1.24.15,libc62.31-13+deb11u5 debCVE-2019-1010022Negligible
v1.24.8,libc62.31-13+deb11u5 debCVE-2018-20796Negligible
v1.23.2,libc62.31-13+deb11u5 debCVE-2010-4756Negligible
v1.23.2,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.23.14,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.23.14,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.25.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.25.8,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.23.12,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.24.17,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.24.17,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.24.0,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.23.13,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.24.5,libssl1.11.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.23.3,libssl1.11.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.23.3,libssl1.11.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.24.2,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.24.3,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.24.3,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.26.0-rc.1,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.25.4,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.8,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.8,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.23.7,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.23.7,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.24.2,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.24.12,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.24.12,openssl1.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.26.9,openssl1.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.23.16,openssl1.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.23.16,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.25.6,libc62.31-13+deb11u6(won't fix)debCVE-2023-4813Medium
v1.23.5,libc62.31-13+deb11u6(won't fix)debCVE-2023-4806Medium
v1.23.5,libc62.31-13+deb11u6 debCVE-2019-9192Negligible
v1.23.16,libc62.31-13+deb11u6 debCVE-2019-1010025Negligible
v1.24.16,libc62.31-13+deb11u6 debCVE-2019-1010024Negligible
v1.24.16,libc62.31-13+deb11u6 debCVE-2019-1010023Negligible
v1.26.4,libc62.31-13+deb11u6 debCVE-2019-1010022Negligible
v1.24.13,libc62.31-13+deb11u6 debCVE-2018-20796Negligible
v1.24.13,libc62.31-13+deb11u6 debCVE-2010-4756Negligible
v1.26.5,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.0-alpha.3,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.0-alpha.3,libssl1.11.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.24.17,libssl1.11.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.24.10,libssl1.11.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.24.10,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.26.3,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.23.15,openssl1.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.23.15,openssl1.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.24.0-alpha.4,openssl1.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.26.0-beta.0,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.23.4,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.20.00.44.0go-moduleCVE-2023-45142High
v1.23.4,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.17.0go-moduleCVE-2023-44487High
v1.23.11,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.17.0go-moduleCVE-2023-39325High
v1.23.11,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.7.0go-moduleCVE-2022-41723High
v1.26.6,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.1.1-0.20221104162952-702349b0e862go-moduleCVE-2022-41721High
v1.23.5,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.0.0-20220906165146-f3363e06e74cgo-moduleCVE-2022-27664High
v1.25.13,golang.org/x/netv0.0.0-20220722155237-a158d28d115b0.13.0go-moduleCVE-2023-3978Medium
v1.26.0-rc.0,golang.org/x/textv0.3.70.3.8go-moduleCVE-2022-32149High
v1.23.12,google.golang.org/grpcv1.47.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.23.12,google.golang.org/grpcv1.47.01.56.3go-moduleCVE-2023-44487High
v1.24.0,k8s.io/kubernetesv1.25.41.25.13go-moduleCVE-2023-3955High
v1.23.14,k8s.io/kubernetesv1.25.41.25.11go-moduleCVE-2023-2728Medium
v1.28.0-rc.0,k8s.io/kubernetesv1.25.41.25.11go-moduleCVE-2023-2727Medium
v1.29.0-alpha.1,k8s.io/kubernetesv1.25.41.25.10go-moduleCVE-2023-2431Medium
v1.28.1,k8s.io/kubernetesv1.25.41.26.0-alpha.3go-moduleCVE-2021-25743Low
v1.28.1,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.27.0-alpha.1,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.20.00.44.0go-moduleCVE-2023-45142High
v1.27.0,golang.org/x/netv0.7.00.17.0go-moduleCVE-2023-44487High
v1.28.1,golang.org/x/netv0.7.00.17.0go-moduleCVE-2023-39325High
v1.28.0-rc.1,golang.org/x/netv0.7.00.13.0go-moduleCVE-2023-3978Medium
v1.28.0-rc.1,google.golang.org/grpcv1.47.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.27.0-rc.0,google.golang.org/grpcv1.47.01.56.3go-moduleCVE-2023-44487High
v1.27.3,k8s.io/kubernetesv1.25.91.25.13go-moduleCVE-2023-3955High
v1.29.0-alpha.1,k8s.io/kubernetesv1.25.91.25.11go-moduleCVE-2023-2728Medium
v1.29.0-alpha.1,k8s.io/kubernetesv1.25.91.25.11go-moduleCVE-2023-2727Medium
v1.28.0-beta.0,k8s.io/kubernetesv1.25.91.25.10go-moduleCVE-2023-2431Medium
v1.28.0-beta.0,k8s.io/kubernetesv1.25.91.26.0-alpha.3go-moduleCVE-2021-25743Low
v1.27.6,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.27.6,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-44487High
v1.27.1,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-39325High
v1.27.0-alpha.3,golang.org/x/netv0.8.00.13.0go-moduleCVE-2023-3978Medium
v1.28.0-alpha.1,k8s.io/kubernetesv1.25.121.25.13go-moduleCVE-2023-3955High
v1.27.3,k8s.io/kubernetesv1.25.121.26.0-alpha.3go-moduleCVE-2021-25743Low
v1.28.0-alpha.3,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.28.0-alpha.4,libc62.31-13+deb11u6(won't fix)debCVE-2023-4813Medium
v1.28.0-alpha.2,libc62.31-13+deb11u6(won't fix)debCVE-2023-4806Medium
v1.27.2,libc62.31-13+deb11u6 debCVE-2019-9192Negligible
v1.27.0-alpha.2,libc62.31-13+deb11u6 debCVE-2019-1010025Negligible
v1.27.2,libc62.31-13+deb11u6 debCVE-2019-1010024Negligible
v1.28.2,libc62.31-13+deb11u6 debCVE-2019-1010023Negligible
v1.28.2,libc62.31-13+deb11u6 debCVE-2019-1010022Negligible
