VERSION,COMBINED
v1.24.6,libc62.31-13+deb11u42.31-13+deb11u7debCVE-2023-4911High
v1.26.1,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.24.15,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.25.12,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.26.8,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.24.12,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.25.10,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.23.17,libc-bin2.31-132.31-13+deb11u7debCVE-2023-4911High
v1.23.17,libc62.31-132.31-13+deb11u7debCVE-2023-4911High
v1.23.10,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.25.14,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.24.0-alpha.1,libc-bin2.31-132.31-13+deb11u7debCVE-2023-4911High
v1.24.0-alpha.1,libc62.31-132.31-13+deb11u7debCVE-2023-4911High
v1.23.7,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.25.9,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.24.0-rc.0,libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.0-rc.0,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.23.11,libc62.31-13+deb11u42.31-13+deb11u7debCVE-2023-4911High
v1.23.4,libc62.31-13+deb11u22.31-13+deb11u7debCVE-2023-4911High
v1.24.9,libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.9,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.1,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.11,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.26.0,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.23.17,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.23.10,libc-bin2.31-132.31-13+deb11u7debCVE-2023-4911High
v1.23.10,libc62.31-132.31-13+deb11u7debCVE-2023-4911High
v1.23.9,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.6,libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.24.6,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.23.6,libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.23.2,libc62.31-13+deb11u22.31-13+deb11u7debCVE-2023-4911High
v1.24.1,libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
v1.26.2,libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
v1.26.7,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.24.16,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.24.14,libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
