kubernetesVersion,Date-Time
v1.22.0-alpha.3,2021-08-06 17:51:04
v1.15.0," "
v1.15.0-alpha.1," "
v1.15.0-alpha.2," "
v1.15.0-alpha.3," "
v1.15.0-beta.1," "
v1.15.0-beta.2," "
v1.15.0-rc.1," "
v1.15.1," "
v1.15.10," "
v1.15.11," "
v1.15.12," "
v1.15.2," "
v1.15.3," "
v1.15.4," "
v1.15.5," "
v1.15.6," "
v1.15.7," "
v1.15.8," "
v1.15.9," "
v1.16.0," "
v1.16.0-alpha.1," "
v1.16.0-alpha.3," "
v1.16.0-beta.1," "
v1.16.0-beta.2," "
v1.16.0-rc.1," " 
v1.16.0-rc.2," "
v1.16.1," "
v1.16.10," "
v1.16.11," "
v1.16.12," "
v1.16.12-rc.1," "
v1.16.13," "
v1.16.14," "
v1.16.15," "
v1.16.2," "
v1.16.3," "
v1.16.4," "
v1.16.5," "
v1.16.6," "
v1.16.7," "
v1.16.8," "
v1.16.9," "
v1.17.0," "
v1.17.0-alpha.1," "
v1.17.0-alpha.2," "
v1.17.0-alpha.3," "
v1.17.0-beta.1," "
v1.17.0-beta.2," "
v1.17.0-rc.1," "
v1.17.0-rc.2," "
v1.17.1," "
v1.17.11," "
v1.17.12," " 
v1.17.13," "
v1.17.14," "
v1.17.15," "
v1.17.16," "
v1.17.17," "
v1.17.2," "
v1.17.3," "
v1.17.4," "
v1.17.5," "
v1.17.6," "
v1.17.7," "
v1.17.8," "
v1.17.8-rc.1," "
v1.17.9," "
v1.18.0," "
v1.18.0-alpha.1," "
v1.18.0-alpha.2," "
v1.18.0-alpha.3," "
v1.18.0-alpha.5," "
v1.18.0-beta.1," "
v1.18.0-beta.2," "
v1.18.0-rc.1," "
v1.18.1," "
v1.18.10," "
v1.18.12," "
v1.18.13," "
v1.18.14," "
v1.18.15," "
v1.18.16," "
v1.18.17," "
v1.18.18," "
v1.18.19," "
v1.18.2," "
v1.18.20,2021-06-16 13:52:43
v1.18.3," "
v1.18.4," "
v1.18.5," "
v1.18.5-rc.1," "
v1.18.6," "
v1.18.8," "
v1.18.9," "
v1.19.0-alpha.1," "
v1.19.0-alpha.2," "
v1.19.0-alpha.3," "
v1.19.0-beta.0," "
v1.19.0-beta.1," "
v1.19.0-beta.2," "
v1.19.0-rc.1," "
v1.19.0-rc.2," "
v1.19.12,2021-06-16 13:49:17
v1.19.13,2021-07-15 21:39:37
v1.19.14,2021-08-11 18:46:32
v1.19.15,2021-09-15 20:01:01
v1.19.16,2021-10-27 17:06:15
v1.20.10,2021-08-11 18:48:35
v1.20.11,2021-09-15 20:01:58
v1.20.12,2021-10-27 17:50:48
v1.20.13,2021-11-17 13:43:31
