NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY,DATE,DESCRIPTION,COMBINED
libc6,2.31-13+deb11u4,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-13+deb11u42.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13+deb11u5,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-13+deb11u52.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13+deb11u6,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
libc-bin,2.31-13,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc-bin2.31-132.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-132.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13+deb11u3,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
libc-bin,2.31-13+deb11u3,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc-bin2.31-13+deb11u32.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13+deb11u2,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.31-13+deb11u22.31-13+deb11u7debCVE-2023-4911High
libc6,2.36-9+deb12u1,2.36-9+deb12u3,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.36-9+deb12u12.36-9+deb12u3debCVE-2023-4911High
libc-bin,2.36-9,2.36-9+deb12u3,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc-bin2.36-92.36-9+deb12u3debCVE-2023-4911High
libc6,2.36-9,2.36-9+deb12u3,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc62.36-92.36-9+deb12u3debCVE-2023-4911High
libc-bin,2.31-13+deb11u2,2.31-13+deb11u7,deb,CVE-2023-4911,High,2023-10-03T18:15:10.463,"""A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.""",libc-bin2.31-13+deb11u22.31-13+deb11u7debCVE-2023-4911High
libc6,2.31-13+deb11u4,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13+deb11u4(won't fix)debCVE-2023-4813Medium
libc6,2.31-13+deb11u5,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13+deb11u5(won't fix)debCVE-2023-4813Medium
libc6,2.31-13+deb11u6,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13+deb11u6(won't fix)debCVE-2023-4813Medium
libc-bin,2.31-13,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc-bin2.31-13(won't fix)debCVE-2023-4813Medium
libc6,2.31-13,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13(won't fix)debCVE-2023-4813Medium
libc6,2.31-13+deb11u3,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13+deb11u3(won't fix)debCVE-2023-4813Medium
libc-bin,2.31-13+deb11u3,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc-bin2.31-13+deb11u3(won't fix)debCVE-2023-4813Medium
libc6,2.31-13+deb11u2,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.31-13+deb11u2(won't fix)debCVE-2023-4813Medium
libc-bin,2.28-10,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc-bin2.28-10(won't fix)debCVE-2023-4813Medium
libc6,2.28-10,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc62.28-10(won't fix)debCVE-2023-4813Medium
libc-bin,2.31-13+deb11u2,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc-bin2.31-13+deb11u2(won't fix)debCVE-2023-4813Medium
libc-dev-bin,2.28-10,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc-dev-bin2.28-10(won't fix)debCVE-2023-4813Medium
libc6-dev,2.28-10,(won't fix),deb,CVE-2023-4813,Medium,2023-09-12T22:15:08.277,"'A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.'",libc6-dev2.28-10(won't fix)debCVE-2023-4813Medium
libc6,2.31-13+deb11u4,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13+deb11u4(won't fix)debCVE-2023-4806Medium
libc6,2.31-13+deb11u5,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13+deb11u5(won't fix)debCVE-2023-4806Medium
libc6,2.31-13+deb11u6,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13+deb11u6(won't fix)debCVE-2023-4806Medium
libc-bin,2.31-13,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-bin2.31-13(won't fix)debCVE-2023-4806Medium
libc6,2.31-13,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13(won't fix)debCVE-2023-4806Medium
libc6,2.31-13+deb11u3,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13+deb11u3(won't fix)debCVE-2023-4806Medium
libc-bin,2.31-13+deb11u3,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-bin2.31-13+deb11u3(won't fix)debCVE-2023-4806Medium
libc6,2.31-13+deb11u2,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.31-13+deb11u2(won't fix)debCVE-2023-4806Medium
libc6,2.36-9+deb12u1,2.36-9+deb12u3,deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.36-9+deb12u12.36-9+deb12u3debCVE-2023-4806Medium
