NAME                            VERSION                      TYPE   
PyJWT                           1.7.0                        python  
adduser                         3.118                        deb     
apt                             1.8.2.1                      deb     
argparse                        1.2.1                        python  
attr                            1:2.4.48-4                   deb     
base-files                      10.3+deb10u5                 deb     
base-passwd                     3.5.46                       deb     
bash                            5.0-4                        deb     
bsdutils                        1:2.33.1-0.1                 deb     
ca-certificates                 20200601~deb10u1             deb     
ceph-common                     12.2.11+dfsg1-2.1+b1         deb     
cephfs                          2.0.0                        python  
certifi                         2018.8.24                    python  
chardet                         3.0.4                        python  
cifs-utils                      2:6.8-2                      deb     
conntrack                       1:1.4.5-2                    deb     
coreutils                       8.30-3                       deb     
dash                            0.5.10.2-5                   deb     
debconf                         1.5.71                       deb     
debian-archive-keyring          2019.1                       deb     
debianutils                     4.8.6.1                      deb     
diffutils                       1:3.7-3                      deb     
dmsetup                         2:1.02.155-3                 deb     
dpkg                            1.19.7                       deb     
e2fsprogs                       1.44.5-1+deb10u3             deb     
ebtables                        2.0.10.4+snapshot20181205-3  deb     
ethtool                         1:4.19-1                     deb     
fdisk                           2.33.1-0.1                   deb     
findutils                       4.6.0+git+20190209-2         deb     
fuse                            2.9.9-1+deb10u1              deb     
gcc-8-base                      8.3.0-6                      deb     
git                             1:2.20.1-2+deb10u3           deb     
git-man                         1:2.20.1-2+deb10u3           deb     
glusterfs-client                5.5-3                        deb     
glusterfs-common                5.5-3                        deb     
gpgv                            2.2.12-1+deb10u1             deb     
grep                            3.3-1                        deb     
gzip                            1.9-3                        deb     
hostname                        3.21                         deb     
idna                            2.6                          python  
init-system-helpers             1.56+nmu1                    deb     
iproute2                        4.20.0-2                     deb     
ipset                           6.38-1.2                     deb     
iptables                        1.8.3-2~bpo10+1              deb     
jq                              1.5+dfsg-2+b1                deb     
keyutils                        1.6-6                        deb     
kmod                            26-1                         deb     
libacl1                         2.2.53-4                     deb     
libacl1-dev                     2.2.53-4                     deb     
libaio1                         0.3.112-3                    deb     
libapt-pkg5.0                   1.8.2.1                      deb     
libattr1                        1:2.4.48-4                   deb     
libattr1-dev                    1:2.4.48-4                   deb     
libaudit-common                 1:2.8.4-3                    deb     
libaudit1                       1:2.8.4-3                    deb     
libbabeltrace1                  1.5.6-2+deb10u1              deb     
libblkid1                       2.33.1-0.1                   deb     
libboost-atomic1.67.0           1.67.0-13+deb10u1            deb     
libboost-iostreams1.67.0        1.67.0-13+deb10u1            deb     
libboost-program-options1.67.0  1.67.0-13+deb10u1            deb     
libboost-regex1.67.0            1.67.0-13+deb10u1            deb     
libboost-system1.67.0           1.67.0-13+deb10u1            deb     
libboost-thread1.67.0           1.67.0-13+deb10u1            deb     
libbsd0                         0.9.1-2                      deb     
libbz2-1.0                      1.0.6-9.2~deb10u1            deb     
libc-bin                        2.28-10                      deb     
libc-dev-bin                    2.28-10                      deb     
libc6                           2.28-10                      deb     
libc6-dev                       2.28-10                      deb     
libcap-ng0                      0.7.9-2                      deb     
libcap2                         1:2.25-2                     deb     
libcap2-bin                     1:2.25-2                     deb     
libcephfs2                      12.2.11+dfsg1-2.1+b1         deb     
libcom-err2                     1.44.5-1+deb10u3             deb     
libcurl3-gnutls                 7.64.0-4+deb10u1             deb     
libdb5.3                        5.3.28+dfsg1-0.5             deb     
libdebconfclient0               0.249                        deb     
libdevmapper1.02.1              2:1.02.155-3                 deb     
libdw1                          0.176-1.1                    deb     
libedit2                        3.1-20181209-1               deb     
libelf1                         0.176-1.1                    deb     
liberror-perl                   0.17027-2                    deb     
libevent-2.1-6                  2.1.8-stable-4               deb     
libexpat1                       2.2.6-2+deb10u1              deb     
libext2fs2                      1.44.5-1+deb10u3             deb     
libfdisk1                       2.33.1-0.1                   deb     
libffi6                         3.2.1-9                      deb     
libfuse2                        2.9.9-1+deb10u1              deb     
libgcc1                         1:8.3.0-6                    deb     
libgcrypt20                     1.8.4-5                      deb     
libgdbm-compat4                 1.18.1-4                     deb     
libgdbm6                        1.18.1-4                     deb     
libgfapi0                       5.5-3                        deb     
libgfchangelog0                 5.5-3                        deb     
libgfdb0                        5.5-3                        deb     
libgfrpc0                       5.5-3                        deb     
libgfxdr0                       5.5-3                        deb     
libglib2.0-0                    2.58.3-2+deb10u2             deb     
libglusterfs-dev                5.5-3                        deb     
libglusterfs0                   5.5-3                        deb     
libgmp10                        2:6.1.2+dfsg-4               deb     
libgnutls30                     3.6.7-4+deb10u5              deb     
libgoogle-perftools4            2.7-1                        deb     
libgpg-error0                   1.35-1                       deb     
libgssapi-krb5-2                1.17-3                       deb     
libhogweed4                     3.4.1-1                      deb     
libibverbs1                     22.1-1                       deb     
libicu63                        63.1-6+deb10u1               deb     
libidn2-0                       2.0.5-1+deb10u1              deb     
libip4tc2                       1.8.3-2~bpo10+1              deb     
libip6tc2                       1.8.3-2~bpo10+1              deb     
libipset11                      6.38-1.2                     deb     
libiptc0                        1.8.3-2~bpo10+1              deb     
libjq1                          1.5+dfsg-2+b1                deb     
libk5crypto3                    1.17-3                       deb     
libkeyutils1                    1.6-6                        deb     
libkmod2                        26-1                         deb     
libkrb5-3                       1.17-3                       deb     
libkrb5support0                 1.17-3                       deb     
libldap-2.4-2                   2.4.47+dfsg-3+deb10u2        deb     
