RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-14c64ffdb54dbaa
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-9eb6ffe2ed84dcf
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-bfd2535c360906f
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-ff8b9fcd88b5b4b
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-030b7795c58baac
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-e41b27e76f1c32c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-40d2f8d1ce13e07
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-feb12d745a4041c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-df007d14a05ced5
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-6093180c59c8e84
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-552134caa4db6bf
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d3b3022c3d7e339
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-42f6eb4d0ef842a
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-c14bb1e98131587
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-fb50177e5853dc3
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-bf3e0bc2fefbe39
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-037a772b29fc9eb
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-2d7224511b81aee
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-2e34771ed9e470e
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-40282f8332c6738
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-1bfbfd1234fbb6c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-9421d455aee1b48
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-0f753a7fed8813a
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-b6dc891a9c0d9f9
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-b53459136852e1f
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-b660e17e79a24ad
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-0f2a3cef407513b
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-89213579395d679
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d7cde460ca6c05c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-88f6142d5698411
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-5caf19115533901
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-0c4918e2cf547ac
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d2a7135a121d4ac
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-63bbfa09653f800
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-8d89cec9c1d91ad
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-87b51e0c2cbc731
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d0f67dead60929a
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-4a27294350ef5ab
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-302d064e250c3de
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-2d5285849398078
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-5771b47cf9b4f71
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-9ddde7c0b5e6609
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-918b61e2032b3eb
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-9ea049a5621b567
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-eddbbb88d8e8193
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d4f0aa93442c37f
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-734f057d6ef8718
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-bea3e47523525b0
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-211d9b3f83ee557
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-dcbbeca5e880615
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-d162da3e26bf9b2
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-21638b758594e13
