FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
kubernetes-client-windows-386.tar.gz,SPDXRef-File-9bf9e72d46453f342c47b855cfff3b7a9237124b,"SHA1: 272fc20dc9c52b7faf7de62b7cff815441e81e76, SHA256: fd9e246dc3a3348c56d6f99c55dd193d83df42b9b409ba29085d45ec5ebbd127, SHA512: 752ad0a3028c207044a4d882fe603fd325107a508e567fe3bf939cf06d67d2d1c523031b3197cf4a3edfa7b2c36b37e9943e5b3567149e36669bae6bc99b1cce",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-portable.tar.gz,SPDXRef-File-4d18a35b9d922269f7dfa20fc86f37406bf91407,"SHA1: 2d4b0940f3ab86ee3231bb2f5ee5758f25ec96a3, SHA256: 34d118ebec2026fe9a1eb2dc5b4e4d7a30eeab94dbad713fad3f9d2e50164aa8, SHA512: 967bed9f40498fb14942c609b1edb73d3573cb67b2be809a0103597b5d15776e4a0e8d5a9112f94a384752e5845b849977e5fb05e5416b3f058b0003519e4343",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/apiextensions-apiserver,SPDXRef-File-b63948cd49d78a42c2ed19b2ab64616ae778fd85,"SHA1: 4d2ecfd51b9f3a34afd22d19f83751abade271e5, SHA256: 35fa34cfecf6c78ead572e3b41357cf561e5799acdf91d3235a4d174cda9c70d, SHA512: 36049b0bb7b0702383c7ab8de0741b47804345de24c917460b932114e848f06a9efbe246ba04ee2729a0358d9e0470996e51f1c2f862dac07b9ee50a1d439fa7",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-controller-manager,SPDXRef-File-4ae195bd50bb8683872457299bb407681f0b38d6,"SHA1: 304c4d73a08e93baa4081ea39524ce4fedb68ec3, SHA256: a745c5516525723cdc74bc5d924b965a7b35adcc61ce63513ab0faf7ef594e43, SHA512: 8ed05abe78d33f3e8b23e7c860f40fd2ed4ec0212e4c43e259ed13f3a6027a6c01fbb01ade10e8fe6449ddb35a1e9c1fd09cc9f564f1e5ca71c90b269f8d0449",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubelet,SPDXRef-File-348837a1be8d476f6251dbb033e79c6a60f471c5,"SHA1: c68cf6989acb64041567b1cda7a04f5f0892ee22, SHA256: ed004ffa06691141fe7cc6eb2ae6c396f9f9bbf0e7ec731e910349b519b8a586, SHA512: 1c4a8285e349e89562b84dce25c0c75b9f2337c703024a59fe9bf3606b484e4747027aeb4a345a0dea0dc989ad79e20f89688e3731e27d2e7abf4d069a6d0a59",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-server-linux-s390x.tar.gz,SPDXRef-File-d459ea566a5c89a95fda986a34c7952b6dff438b,"SHA1: da81719df216256ab33318f744e3a9e0bcc8a7c1, SHA256: 55e1644a0c79172817cd28a23643ef71bb810038711ebe4e26692fe33f4cdd88, SHA512: fac5de2ea843490bd20fb4e91ccccd692fa42593baee7d396322a17b79d781cecf34a57fe17617173fb27cfe5778236957176b62deee7afe721793e84eb7d0a3",Apache-2.0,NOASSERTION,NOASSERTION
bin/darwin/arm64/kubectl-convert,SPDXRef-File-9003168ca20a63aa8aa84ef1850176d0298431e0,"SHA1: 38492425419f4c7dda9ac51a29f72470e7e634fe, SHA256: ec4921fd496b38b0954cf2769475ac624bfc02e7c3d2ddc885b70d0b700300b8, SHA512: d1d211fd57a0e7ddd3b47cb28ab131de1195563ca0d4431ddeaee5d567e1cf3833cfb01168154126b13b7ad5fcc69521c29f5bdfe8e787343b3a8623facda095",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-proxy,SPDXRef-File-38d7fad2dda115d5fcb88a278e86f4b8b8871f58,"SHA1: 5b38efe286de9c9904ab6e9ff8859c44e969693a, SHA256: dcebbc9275d30f71bfce4349352576c1b719c9d060b2dcd295b6dad1aa2e2c22, SHA512: 961be2dfc7766c09d1122461616c48b1a73cd72e488dd4f0bd74e938403795ffa077388caa19e432e8329baed4dcb98bb57523834ba5928dcbb4c4cf29624191",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-scheduler,SPDXRef-File-23ac4a29521eea4b9fe30b5bed9e7329fb4a7f59,"SHA1: d3f50dd11be26e71eb7d10612b2ad08ff4ee97b8, SHA256: e6d6b9c9b88e109424eb5087c7e89a20d2efd5bd5b3b1a5f6fe8cffee324b793, SHA512: 961066f368b67972f238adb73cab3685374e54e165661b17dc9defdb7b47f1c3ef7ff7e14caf8abf6ea12bfacfb73f3467a1e29493293984ceaa28c219b40ce2",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-amd64.tar.gz,SPDXRef-File-5904101cf122b71b03fe866eaab62746f0b20cd4,"SHA1: 2c1486c1e21a19601876b7dc64ef5f9f26d8082f, SHA256: e2bd1ef82c95ab6f2aa4d15c8cc4772bc7d2401bc6e12ab8037c6692504837cf, SHA512: 4ae063266207869ba4a6f9290b75785a4e555f3c8ebc7856fcb57b14a3b29993afc106e68bc91b918391830ff1585b8772040e3a8a55ffbef7b3b2968f286971",Apache-2.0,NOASSERTION,NOASSERTION
