PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-6cbda01277f00e859e70914d07fb8eec277d250f,N/A,N/A,N/A,N/A,N/A,
k8s.gcr.io/kube-controller-manager-amd64:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-amd64-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
58f4b2390f4a5116b0d218a078d87dd883cb08055ba41c68773e953ceb8dc9ff/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-amd64-v1.23.0-beta.0-58f4b2390f4a5116b0d218a078d87dd883cb08055ba41c68773e953ceb8dc9ff-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d9617fff92c6e10786dc607663da32e86c75fd5e, SHA256: 6d75f23be3ddcb784b51ea7ef9b6a3a038f9e0b2f08f08628b226dba8b5161f8, SHA512: 314b84695e4060ac85b425986999675fc9e5b02fc4ae84cbb6563a956ce2e51545026e5f02d3aea30dde415171165ad7164d2dbc9f6e31337f8c9f6dab45dc60"
7b93881d898d5ff03d3b3aca071273974a70cdb124c30841b97b18a479ba68f9/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-amd64-v1.23.0-beta.0-7b93881d898d5ff03d3b3aca071273974a70cdb124c30841b97b18a479ba68f9-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 55797a22b60fb3934cf5040c41d10677a50724f5, SHA256: d2df6f64dca491f0e5b4204cfc42944d2c3efdb5011951226e3cb0a153901dfc, SHA512: fc11c0fbcc04ce5267c6ba1f869a80b1424e3ae9e210de34f67fc66fd563f9ac96baf7864ac216ff0dbf39c48f231ed70dea2fe5b38c7921e45182b11ab90881"
4ad96f8fb6c54618611dc450399258170d3ece06d2517078baf41477b5da9889/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-amd64-v1.23.0-beta.0-4ad96f8fb6c54618611dc450399258170d3ece06d2517078baf41477b5da9889-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 946eec95174773730ddb87ecd2f93c481c88ad94, SHA256: 7e03ded50cd3e5048dec82a7f0e5488d14e4cbbdde63eda0017d0b35313f0e6d, SHA512: 380fcbc8f004252d0b82b20f8038ceac15830b99a0b5ad2c4f56c8035cb1441f159f17b4db1eec1f677baa7f65e743daf97c6d725722a5804b7741a9ed5984bf"
k8s.gcr.io/kube-controller-manager-arm:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
d93d13f2da6e2238b5ea5a8553245f106b2392b0fe18fa8bd9f236854bbd721b/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.0-beta.0-d93d13f2da6e2238b5ea5a8553245f106b2392b0fe18fa8bd9f236854bbd721b-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 99506da5315e744e4517b02d31c448678658dc52, SHA256: 15709689477fe81ab8067a5dfe3016e44076377f32c2f9edff179b4597662033, SHA512: d56a2d06eb28a5c818dccc4b095f246e3df35c0afca5d4a10f8fad852f75b041607a036500d152af32b7c815dcfc315f703fdb3f90e6a5627d94460a2860d3dd"
58472288c81a7a9386a478e617ab5e61c996cbc673be498ee2588989114b6097/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.0-beta.0-58472288c81a7a9386a478e617ab5e61c996cbc673be498ee2588989114b6097-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: ba1ca4e04890855cdf1687cdba72be2ec440654f, SHA256: 4d263924b1eaa9dc883c6b4e49f039ec8973252c593b955bb8a47879e440047f, SHA512: e460cb0f8d04bc65ef26746070679e1e3a3d40db29ffdea48b653085b4906dc1e67fcbcf6a3d1f1fecb2196c3b404aa1df9d2d42194a3384fc4cdf36fedc6366"
159e325571b29d510e8fb24e966d98cad442d5cf5ca77ed5689d334b8896875a/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm-v1.23.0-beta.0-159e325571b29d510e8fb24e966d98cad442d5cf5ca77ed5689d334b8896875a-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 342a9210b385f720ba2609c5a8ccf0c3d068a6a2, SHA256: cbd7c9fb3c91124bce71d744b1016491c9e9d6d2f6cc02ca97c540e77b47edab, SHA512: f99c42fd8e3958441c64b125102251abcccc6989988cd638038a21aca2e8df192e2e111b6ca3d77931d2a1fe48bf82e65d87330ca4becf80c27b91fe5271db72"
k8s.gcr.io/kube-apiserver-arm64:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm64-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
b93ca430dcd6f2ac4c27e3752ea8c51db2790dbaf66b3d1505baee09511239ef/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm64-v1.23.0-beta.0-b93ca430dcd6f2ac4c27e3752ea8c51db2790dbaf66b3d1505baee09511239ef-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b5de0fd517051bba798bd272bfbcbcdefbab11fe, SHA256: 5d6164d8f6a0bad069cda8a82d0c3d3053d6f5077c73bbe737caa8d9c32fbdde, SHA512: 7b196d728481ac67dd140218cf01004e7029e077b5e3b7a92e79282be5bbf602e8389df72ca3b45aabf7bb82c1e2a3a103342008701b972a052104520d4d9ca5"
71086f1999f6ee00a5386a64c3b25443393b05436f432409f6e222a179680da4/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm64-v1.23.0-beta.0-71086f1999f6ee00a5386a64c3b25443393b05436f432409f6e222a179680da4-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 3e9b43530c036ffcb891f5b85bf9cac894289e5a, SHA256: ce4f3bed20ddf7bbabec3879f73de6a0956c2be99366080a511e7f200e539d1a, SHA512: 32a1fbe8b458015b77d3de7c007ecd3bc34c005ec817951b550baff60ff4f5acedc8023088ea7bbe98bc8b2e505c63cd875532e3469da38c3e8c75ba115e2521"
0ddc2a1abeb9ab0797a666f5ea72b955e4e18f33be9ad202caffd65bb39acd79/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-apiserver-arm64-v1.23.0-beta.0-0ddc2a1abeb9ab0797a666f5ea72b955e4e18f33be9ad202caffd65bb39acd79-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 72e3b4e4051942352168ca12e3fc054f70da1e23, SHA256: c5fa6d5bdb2507692f1ae25e218d97312029587646190d454abf0e4564583249, SHA512: 80b98c14a459f32767c00044c76b6249fcbbb06603b218518d0afdfe2b1ac1ff69179f19cce7c3537ea913a6ef995105d7765c8323cc8bd583ab73e295cf93bc"
k8s.gcr.io/kube-controller-manager-arm64:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm64-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
b93ca430dcd6f2ac4c27e3752ea8c51db2790dbaf66b3d1505baee09511239ef/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm64-v1.23.0-beta.0-b93ca430dcd6f2ac4c27e3752ea8c51db2790dbaf66b3d1505baee09511239ef-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b5de0fd517051bba798bd272bfbcbcdefbab11fe, SHA256: 5d6164d8f6a0bad069cda8a82d0c3d3053d6f5077c73bbe737caa8d9c32fbdde, SHA512: 7b196d728481ac67dd140218cf01004e7029e077b5e3b7a92e79282be5bbf602e8389df72ca3b45aabf7bb82c1e2a3a103342008701b972a052104520d4d9ca5"
71086f1999f6ee00a5386a64c3b25443393b05436f432409f6e222a179680da4/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm64-v1.23.0-beta.0-71086f1999f6ee00a5386a64c3b25443393b05436f432409f6e222a179680da4-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 3e9b43530c036ffcb891f5b85bf9cac894289e5a, SHA256: ce4f3bed20ddf7bbabec3879f73de6a0956c2be99366080a511e7f200e539d1a, SHA512: 32a1fbe8b458015b77d3de7c007ecd3bc34c005ec817951b550baff60ff4f5acedc8023088ea7bbe98bc8b2e505c63cd875532e3469da38c3e8c75ba115e2521"
880824c5b89c8119ae9b92129b2e4049d6697ba30ad12da4e8c2558d1f5f3a9f/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-arm64-v1.23.0-beta.0-880824c5b89c8119ae9b92129b2e4049d6697ba30ad12da4e8c2558d1f5f3a9f-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 59d4e293ebb4fb03414ad8716747a98bf38ec58a, SHA256: eba0e051117e1bb822528c96d9e151d19dffe2fc4b5fe3b4baef69e55ee1059e, SHA512: 310692f86b334dbfc67a2a86c39a3d573a13f6d12fc88d7562d52fdbcfe2026657ecfaf690d9a8228c329da14a2fdd587cdfd8f34fd2189fccf9451b8b0b643b"
k8s.gcr.io/conformance-ppc64le:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
2ca820743ad3791386c96cc6079d028f806039a66d86fe332bdfd8896b1a3131/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-2ca820743ad3791386c96cc6079d028f806039a66d86fe332bdfd8896b1a3131-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 37f4cd3321564db6e40d053ce92231d3c2477068, SHA256: 48dc3eafed5af40f328df1a238220c4305647042dc47ece5c9d0141fd210a08c, SHA512: 215e1fd5a4486f26cd17d7c9fe261609288fdf4166ea398b2851a9988da6b887f8dbadb5b5033650bf7fffdb95b1f588e986b14faf33cc9b6a45796eefee8313"
c1de03825b07b87372c1af4fa4b0893a6b87fc9b3edeeba66b962d638bf528fe/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-c1de03825b07b87372c1af4fa4b0893a6b87fc9b3edeeba66b962d638bf528fe-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b4c138f85cb2ffd63175e2e27d74579d8fa75147, SHA256: ce86e7146768b133c0b69c9dfcdb396bc1cf80d24db9dcb4834a0dc0bbb0039e, SHA512: d87d8b5d39b5eed15610101c5d6044cfb1cfe877f031122475cdd9e2299ad8c71e0915907a9ade3bdd1f02ba52be9f9ceb8f893cd45f80de9769724dc9a63344"
7e0a8f89b3d40bc990bc27352f088d5bd7c5fa2ea52788f090eadaf50216b500/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-7e0a8f89b3d40bc990bc27352f088d5bd7c5fa2ea52788f090eadaf50216b500-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: ca463b1a19ba5c2c289bdb1c39459239606dd18c, SHA256: 05e2c95d3e99b10c5954edecba00c4891b945737d6d7a34d2e7ea5eda8841c16, SHA512: c47051efaf62eeb6119562034d0dd6f5d59b94421c5c389f098a4f8354c6eb0c7c09ca3c2137815f8e530f847e934b109731a5ba002798e01c4533be7cb11e8d"
64bcd55caa57d606a61b48a50e2a915747aa8de189ebeda3c6e2411b1ee3f570/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-64bcd55caa57d606a61b48a50e2a915747aa8de189ebeda3c6e2411b1ee3f570-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: e2b51c7c520b9b9f081028032def5ebd3774346f, SHA256: cdb0c22183c26a8fb6b8381da7bfbfd9630b19b1e0fedee83f65f18f791d190a, SHA512: c9d0d68aae1150723f5fe7d901a98c46edd363ca65ab64e6b45a63feaa469bb123eddfb47cb95c499b0e67d616b60df4eaf8772e2d8584b28fba6369fc7a2bb6"
9c4242616e1e48f88c21f4d102e677b514fd735b306984e393fcedd1490c27ba/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-9c4242616e1e48f88c21f4d102e677b514fd735b306984e393fcedd1490c27ba-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 6e52421eb2c9a86d0557fea83d35902dba74cbec, SHA256: 3434cd9631f30f3902dec0d8ad9de6e7ca220b3f514180bb214aea31bf674a5c, SHA512: 35a08f5847248277cda511c8d9758f95150fe40ca8cf59f914a8759ce8f96ea80bd96117561ff1f667c1a557747dd2836cd12f4d6ccfed7ae43645df1c893444"
57250e12d0200564eca3428cea95b053d2e73d65516f3c715d708a9561bfaed6/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-57250e12d0200564eca3428cea95b053d2e73d65516f3c715d708a9561bfaed6-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: aaf2c461a767488a0e0ffb7605afd70a3b0235f3, SHA256: 684018ca0dd71fa919fc57b1db7943900aafeb734cf9704c3f417d5895b93075, SHA512: a38e8fd2b33471edbd67b0132d388f2ab0b3b3cf91e2691d43592bc211e7e2bc1189ff2bcd89d9f7b01f03a3414efd9dfb3af1f72b7ab7d9808e22ef63d4b483"
e4c76b2148f503104c5cc073fe8e5c159fd6a44b369af74a059a55fd17ceb306/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-e4c76b2148f503104c5cc073fe8e5c159fd6a44b369af74a059a55fd17ceb306-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 298314b626a6bd390c3e42d8c335bfe65b15b49d, SHA256: 7f6207b8df279b2aada1ecf0e769039edb8d3e81f80b178d8a954d4e4019c89a, SHA512: dc7b5b48df7bd31fcc1ff001c52b63205bf594bd1746ad4402ff188769e4535279f8fc991296e6b947100cd669a0a0a16716ee9a043280574fc56b76a6b02f38"
9f9485cb89058557d92324d72fdf0526872c02759ad1a522d4ac7ee20ccf66e7/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-9f9485cb89058557d92324d72fdf0526872c02759ad1a522d4ac7ee20ccf66e7-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: eb0419b267b1378c2c7c3ca9e7734872a1c36d8a, SHA256: 23c038d25675dd9fae4d1d94ef843f9c620c7793ca23db60a7949e331a7f993a, SHA512: 4fd2374a7e33ff23e72edf545117140265de68078d0254c808f82658e0be2ca6edd090ccd511fc624ddbc73fc109200aca82ee478ee4bfaeda47d3561b6adefb"
3156e5db3804b27c3162bdf30af2be7be1ee63dada1ba380a52843d71a443441/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-3156e5db3804b27c3162bdf30af2be7be1ee63dada1ba380a52843d71a443441-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: fae3e4dc3674fbc08ef96a62829b9568ea2aeddc, SHA256: 495deda950adeb5dc348f0efceb1c899737fa20a22a9a3788a59e767240352c9, SHA512: 1f785b5aba7ab16e2e06e758c61f2fe2f47094aa995b5ba168714bf86ddc4c12e3f3d1b008acf7d11e02bbbf5468771e697b38fc1cd5613902fd400a9d6962c1"
060f4fb003b8a11ed92eab3d30f34db8a86b5231028bd3b1350021ffb5e016c1/layer.tar,SPDXRef-Package-k8s.gcr.io-conformance-ppc64le-v1.23.0-beta.0-060f4fb003b8a11ed92eab3d30f34db8a86b5231028bd3b1350021ffb5e016c1-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: aec81c833004aa7625159a59d265f76d1cb365bf, SHA256: 0ff96f55c654bfed17d756b8c27512e4d8cffc50820edeb9ac42ff8641884f37, SHA512: d2c3153e715d309f3c2a108841f68a60dca6ea77b99569d49816f383e7733250a7a0358efa07585d85f582fdc173690ea2d40855e07285d4cb875a8d9ba8c63f"
k8s.gcr.io/kube-controller-manager-ppc64le:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-ppc64le-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
2ca820743ad3791386c96cc6079d028f806039a66d86fe332bdfd8896b1a3131/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-ppc64le-v1.23.0-beta.0-2ca820743ad3791386c96cc6079d028f806039a66d86fe332bdfd8896b1a3131-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 37f4cd3321564db6e40d053ce92231d3c2477068, SHA256: 48dc3eafed5af40f328df1a238220c4305647042dc47ece5c9d0141fd210a08c, SHA512: 215e1fd5a4486f26cd17d7c9fe261609288fdf4166ea398b2851a9988da6b887f8dbadb5b5033650bf7fffdb95b1f588e986b14faf33cc9b6a45796eefee8313"
6dfdd5aa55fe7bca3ed38ce0db1ce841de37affdaf74771204cafbf406357169/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-ppc64le-v1.23.0-beta.0-6dfdd5aa55fe7bca3ed38ce0db1ce841de37affdaf74771204cafbf406357169-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: f52865e90e3fc3fcf3576ad53ef001ef4675dabe, SHA256: 6af4a6f635a1c3343215284187ba11e96f68d992b735eb7aedada93739efea0f, SHA512: 729c000d91336209d662c698032234ae561be7f2bdd6d19e937bd7100716625827bc6be67a2f3c93a19aeb7eee7f9629e53c41af1ae0bdf80ca8b8d73ee57ac6"
fc25b7c11977b9ef419c58fa2580d3284c2032bef77d12a39ea29a70bb5d87c9/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-ppc64le-v1.23.0-beta.0-fc25b7c11977b9ef419c58fa2580d3284c2032bef77d12a39ea29a70bb5d87c9-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 06c87fcbf31d3036f90ed97b1bc185eee1b63f0a, SHA256: 67cfd28b7b3d2645d842bb3ef451f1040d3fee77c30a703e18af182eb3d53156, SHA512: 770016a70ca4134ede056e950841a79c0c0c312d18f71597b7248b3ad26550609368b86815d73404a06214de130e7575b755b2f82c1c3933ae8114d4db562dae"
k8s.gcr.io/kube-controller-manager-s390x:v1.23.0-beta.0,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-s390x-v1.23.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
c3db737604fd48418d5c3d52a95770cc05a59ecd8848b005541329d0af3c58a7/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-s390x-v1.23.0-beta.0-c3db737604fd48418d5c3d52a95770cc05a59ecd8848b005541329d0af3c58a7-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d099f65f0694efac48631065e1e788cc74779f43, SHA256: 8399aa14ee82b8206b0edeeb727695e7e038e7ba69f10005f235dc73d0070a7b, SHA512: f8a5c5c76dfcd8484ab5b3d57524b42f9938bf50c8a65788b3d5531a2d0a351a03fa0cc631470dfef2a5afeace3fc253d7965792175fe7c312570872e0635558"
a4938d95f553c1e54a96dc0df2f6b55b8e3e8b9de06a19266fa710b4149c1be6/layer.tar,SPDXRef-Package-k8s.gcr.io-kube-controller-manager-s390x-v1.23.0-beta.0-a4938d95f553c1e54a96dc0df2f6b55b8e3e8b9de06a19266fa710b4149c1be6-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: efb2bff52a1bf838824a842d63d82724afa8cae2, SHA256: 83addad635bed456164117808da53eea4923b1b82ebad985239e4842daa6f66a, SHA512: 96899818100fd35c2ec5eae6e06b275ee074b60a84ea22cc77e87e3d27139f35002e96072998df81b43ddd931b60109c4cb829601dfad5941fcc3a49a7cfd999"
