FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
kubernetes-node-linux-arm.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-tars-kubernetes-node-linux-arm.tar.gz,"SHA1: fe698b0e0e0a87b50893d36fefbfb02d92ff95a3, SHA256: 997dd0598293e3cefc0d09f2ce156a9b13f69bd36bab50d08008c3877ccfdb91, SHA512: 044216a04fb7c995038d1f36237fb268396621aabbee7a9c0ac492ab6e70f697b80ff833b1a4aad7f32cdbd35dd90e6931028747c73e04adec4eb786a658140c",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-tars-kubernetes-test-linux-s390x.tar.gz,"SHA1: 874258537d3174eae34158ca1c3f7e6d7f2e73e9, SHA256: 68fe909460310d5f8b6c33e95d44bdf3b4adac339b087703325208066b7a1712, SHA512: f3de6d188964da76d8bafdd39f93ccc95378c044297fde9d390e000a37f3ea6cc1eedb50922394736a409f43a656d244330e645d547d98b55116c1f05502c40a",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-apiserver,"SHA1: fe7499589a0c120b1692b59d7b20d256f47e00a4, SHA256: 0b2273cc788c51861bccaf7a2bdf40021012b92a8b20ae92e67fe8b181d4886f, SHA512: 8f356bf05ea971f7ffe53b888b51fe10e83fb4335136ed369be136bc67b790190548bb93556b275d416a589d6fe5cdf2ca228430285bd2f6dd674964bb78b668",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-scheduler,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-scheduler,"SHA1: 0c5cc7fc0f4702e6f0d13468e6155fedba902cc2, SHA256: 8000f9ad1a34011bc4c8fe72caffb6c039c45396d1d208a6b6a76cdc2cd1762c, SHA512: adec391767ad5fe3fa95c035d8f027ad5039743abc4471feb17ef9aa3a88619d8d0d18e15ecb5e1fed691d119734384a7e3d2bd9e6d466a3120d2655d8d294b8",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/mounter,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-mounter,"SHA1: e27ce5479af154c414831633481b1cd00584bfd4, SHA256: 235b191aead77288927ab42dc938253dcbdd3a244bb7999d7835f81a047c5e9d, SHA512: 2e6f923c635df3f8cbb4cb8611ca5afeef2b674e782da3fee4cf0c72af9ba6e7172edd8dd369ac8d79734964ee85489e4ff40201922c6bb31480cce96cec985d",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/mounter,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-stage-server-linux-s390x-kubernetes-server-bin-mounter,"SHA1: 26a1e1893bc94b02220e0d2403ecd8aaa5b61d8c, SHA256: 5d95e0916c79dacef9f882bfc3e7e8c7d2c4d859257e2b2e27dfa1e7259219db, SHA512: a8e3d1aff38110e1bc8d9824459d58d44fbe64a210f4ea6e584200c2f7a7e60801ca39a1ca9ecd31c16649aa3ccc2ca1634635ba22db9e0c8955e68cdb9a247f",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-tars-kubernetes-node-linux-arm64.tar.gz,"SHA1: dedb9578c481beb65f6692eea16ce59b62f2335b, SHA256: 7fefb4486a8422f275ac6140cf3b5e8de2632070c5df8f4ed8ff2ec067ba8d14, SHA512: b31cdddeaffec6618cb1826b28f73e657bbd6b272801e4d0399ef6a5db1ea0afcd9fea050ca0a6aaa2714eeda573d0cf9441c462f0492777f07ac94d46aef8b9",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-server-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-tars-kubernetes-server-linux-s390x.tar.gz,"SHA1: 75847230ba00b23f320b801f7f8c8292a39fefc0, SHA256: da6613beacbb423acf45b80df51b57246b8d0549e4ab25767d4e264e40877f0c, SHA512: b0b32c62216b18a8456788c6763eeac2c443e7c3781b29fcb356025d1c836c248c3f157ff65a94412b3b02306196259411e3f2e49a888b5f233d176b9e69541b",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-portable.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-tars-kubernetes-test-portable.tar.gz,"SHA1: 86711159b0e6fde44d14d8cddf065919b56b4ca5, SHA256: 843c1b2745128b0dc932df5a1aa0371be1f22911237c6325ffe717456692b73e, SHA512: f973a0f18651e96cf640a657e8ac0b26e4460351e4d84cf07c304b6a24717abe70bad0ca0d1ed2e1c75915c07aa9e797205a20df7c8a692246095534f53ccd10",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.11-release-stage-server-linux-amd64-kubernetes-server-bin-kube-aggregator,"SHA1: af4bd8f5127ac6029119e33934e3b5b9aaeab8c8, SHA256: f595738faa6dd4e3e9947503ed822c131d5d54fcca7c91bc5a4f2dc039102538, SHA512: 42e1c95370fcfa9766ea3bffb9d17ea510485ef42005ea9e66e813df3562c608936e869c93e227678569fe1825da5bc2597e6909319b57de368dc46a56e9fdb0",Apache-2.0,NOASSERTION,NOASSERTION
