NAME                                                    VERSION           TYPE      
base-files                                              11.1+deb11u7      deb        
k8s.io/kubernetes/cmd/kubectl                           v1.24.14          go-module  
k8s.io/kubernetes/test/conformance/image/go-runner      v1.24.14          go-module  
k8s.io/kubernetes/vendor/github.com/onsi/ginkgo/ginkgo  v1.24.14          go-module  
libc6                                                   2.31-13+deb11u6   deb        
libssl1.1                                               1.1.1n-0+deb11u4  deb        
netbase                                                 6.3               deb        
openssl                                                 1.1.1n-0+deb11u4  deb        
stdlib                                                  go1.19.9          go-module  
tzdata                                                  2021a-1+deb11u10  deb
