PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.0-rc.0-release-tars-kubernetes-client-linux-386.tar.gz,N/A,N/A,N/A,N/A,N/A,
registry.k8s.io/kube-controller-manager-arm:v1.25.0-rc.0,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.25.0-rc.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
ba69ee7f8040f13122442b3ecaef10798b10ac3a7d686037c7740da12fe2d349/layer.tar,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.25.0-rc.0-ba69ee7f8040f13122442b3ecaef10798b10ac3a7d686037c7740da12fe2d349-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 127b23604a656a9d4df001f1e34f934d7d0b8de8, SHA256: e1ebab51ea8841a8842a8de62f1a118423fa5f40c3247c4da606bfeb8d91d82e, SHA512: 02151d9ca0841447ccd62ea0895f1cb6e938b0f67fb4adcab7471d2f3946a178a8e0975da1382489e37ac4ce0d22b1d3b45603c09a0c650977b0a824c8df69a2"
f95699724d57a29a58ebb843ee1386376a71f0ef0c0a7515243042eab01081d4/layer.tar,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.25.0-rc.0-f95699724d57a29a58ebb843ee1386376a71f0ef0c0a7515243042eab01081d4-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 7b0601b5e6fe9ff2af27f1da9e1a3090b83ed9ac, SHA256: 0fee9c393d871a14e29e939c7c4bd5ca0fef7e75b849b3596ead97e4b711777d, SHA512: effc831e98a567dae42c4369f241122b8bcfa70eb1ec037ec3ea37d27d6c6e6e122a1ebe0db724da8413a0381c3abb9fa084a5043b78b3f0d6c1fc716f3e444b"
5a0a49d95a24809da05fe8fd543b455e20c49f0f280640a25fe22d26e9cb88e1/layer.tar,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.25.0-rc.0-5a0a49d95a24809da05fe8fd543b455e20c49f0f280640a25fe22d26e9cb88e1-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: c25bd1435108ac5c3819dc63d8478517ecb8c825, SHA256: a03258db090e8283807bc17bd33b59d6bdb0400958f4a018657e04e190a5cfa3, SHA512: d162989b15b92854dba0a8f5c9410f00809706b75973773d777a77e1655a22daed9986d45afa8f284cc4190b5347b1643aa7dfb3020e7723dae07d51551186f8"
registry.k8s.io/kube-scheduler-arm:v1.25.0-rc.0,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.25.0-rc.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
ba69ee7f8040f13122442b3ecaef10798b10ac3a7d686037c7740da12fe2d349/layer.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.25.0-rc.0-ba69ee7f8040f13122442b3ecaef10798b10ac3a7d686037c7740da12fe2d349-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 127b23604a656a9d4df001f1e34f934d7d0b8de8, SHA256: e1ebab51ea8841a8842a8de62f1a118423fa5f40c3247c4da606bfeb8d91d82e, SHA512: 02151d9ca0841447ccd62ea0895f1cb6e938b0f67fb4adcab7471d2f3946a178a8e0975da1382489e37ac4ce0d22b1d3b45603c09a0c650977b0a824c8df69a2"
f95699724d57a29a58ebb843ee1386376a71f0ef0c0a7515243042eab01081d4/layer.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.25.0-rc.0-f95699724d57a29a58ebb843ee1386376a71f0ef0c0a7515243042eab01081d4-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 7b0601b5e6fe9ff2af27f1da9e1a3090b83ed9ac, SHA256: 0fee9c393d871a14e29e939c7c4bd5ca0fef7e75b849b3596ead97e4b711777d, SHA512: effc831e98a567dae42c4369f241122b8bcfa70eb1ec037ec3ea37d27d6c6e6e122a1ebe0db724da8413a0381c3abb9fa084a5043b78b3f0d6c1fc716f3e444b"
42b485b2a9d8c65d5fd8fa1977ea478532c73528d34f0f14a5116777782555b9/layer.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.25.0-rc.0-42b485b2a9d8c65d5fd8fa1977ea478532c73528d34f0f14a5116777782555b9-layer.tar,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 2c231aa47a4d0756060d58f72b098dbf205d31ea, SHA256: d63b1cabfce5846ffda0f5dd11005a1d136113f70c988075844dccbb2d343328, SHA512: acbe27fed561977a9b0c66dba8a41564a0f16c4773ccb9508155e7744cc1ad233daf6d2e2e848c5171e1e5460bf3cd4f59b9f8ebbb155fe864a8f91c00ec659a"
registry.k8s.io/kube-proxy-arm64:v1.25.0-rc.0,SPDXRef-Package-registry.k8s.io-kube-proxy-arm64-v1.25.0-rc.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,
