NAME                                   INSTALLED                             FIXED-IN          TYPE       VULNERABILITY        SEVERITY   
github.com/cyphar/filepath-securejoin  v0.2.3                                0.2.4             go-module  GHSA-6xv5-86q9-7xr8  Medium      
github.com/docker/distribution         v2.8.1+incompatible                   2.8.2-beta.1      go-module  CVE-2023-2253        Medium      
github.com/opencontainers/runc         v1.1.3                                1.1.5             go-module  CVE-2023-28642       High        
github.com/opencontainers/runc         v1.1.3                                1.1.5             go-module  CVE-2023-27561       High        
github.com/opencontainers/runc         v1.1.3                                1.1.5             go-module  CVE-2023-25809       Medium      
golang.org/x/net                       v0.3.1-0.20221206200815-1e63c2f08a10  0.17.0            go-module  CVE-2023-44487       High        
golang.org/x/net                       v0.3.1-0.20221206200815-1e63c2f08a10  0.17.0            go-module  CVE-2023-39325       High        
golang.org/x/net                       v0.3.1-0.20221206200815-1e63c2f08a10  0.7.0             go-module  CVE-2022-41723       High        
golang.org/x/net                       v0.3.1-0.20221206200815-1e63c2f08a10  0.13.0            go-module  CVE-2023-3978        Medium      
k8s.io/kubernetes                      v1.25.5                               1.25.13           go-module  CVE-2023-3955        High        
k8s.io/kubernetes                      v1.25.5                               1.25.11           go-module  CVE-2023-2728        Medium      
k8s.io/kubernetes                      v1.25.5                               1.25.11           go-module  CVE-2023-2727        Medium      
k8s.io/kubernetes                      v1.25.5                               1.25.10           go-module  CVE-2023-2431        Medium      
k8s.io/kubernetes                      v1.25.5                               1.26.0-alpha.3    go-module  CVE-2021-25743       Low         
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0464        High        
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2023-0286        High        
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2023-0215        High        
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-4450        High        
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1v-0~deb11u1  deb        CVE-2023-3817        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1v-0~deb11u1  deb        CVE-2023-3446        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-2650        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0466        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0465        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-4304        Medium      
libssl1.1                              1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-2097        Medium      
libssl1.1                              1.1.1n-0+deb11u3                                        deb        CVE-2010-0928        Negligible  
libssl1.1                              1.1.1n-0+deb11u3                                        deb        CVE-2007-6755        Negligible  
libssl1.1                              1.1.1n-0+deb11u3                      (won't fix)       deb        CVE-2023-5678        Unknown     
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0464        High        
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2023-0286        High        
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2023-0215        High        
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-4450        High        
openssl                                1.1.1n-0+deb11u3                      1.1.1v-0~deb11u1  deb        CVE-2023-3817        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1v-0~deb11u1  deb        CVE-2023-3446        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-2650        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0466        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u5  deb        CVE-2023-0465        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-4304        Medium      
openssl                                1.1.1n-0+deb11u3                      1.1.1n-0+deb11u4  deb        CVE-2022-2097        Medium      
openssl                                1.1.1n-0+deb11u3                                        deb        CVE-2010-0928        Negligible  
openssl                                1.1.1n-0+deb11u3                                        deb        CVE-2007-6755        Negligible  
openssl                                1.1.1n-0+deb11u3                      (won't fix)       deb        CVE-2023-5678        Unknown
