NAME                                              VERSION                                            TYPE      
./staging/src/k8s.io/api                          (devel)                                            go-module  
./staging/src/k8s.io/apimachinery                 (devel)                                            go-module  
./staging/src/k8s.io/apiserver                    (devel)                                            go-module  
./staging/src/k8s.io/client-go                    (devel)                                            go-module  
./staging/src/k8s.io/cloud-provider               (devel)                                            go-module  
./staging/src/k8s.io/component-base               (devel)                                            go-module  
./staging/src/k8s.io/component-helpers            (devel)                                            go-module  
./staging/src/k8s.io/kube-proxy                   (devel)                                            go-module  
./staging/src/k8s.io/mount-utils                  (devel)                                            go-module  
base-files                                        11.1+deb11u4                                       deb        
conntrack                                         1:1.4.6-2                                          deb        
dash                                              0.5.11+git20200708+dd9ef66-5                       deb        
github.com/NYTimes/gziphandler                    v1.1.1                                             go-module  
github.com/PuerkitoBio/purell                     v1.1.1                                             go-module  
github.com/PuerkitoBio/urlesc                     v0.0.0-20170810143723-de5bf2ad4578                 go-module  
github.com/beorn7/perks                           v1.0.1                                             go-module  
github.com/blang/semver/v4                        v4.0.0                                             go-module  
github.com/cespare/xxhash/v2                      v2.1.2                                             go-module  
github.com/coreos/go-systemd/v22                  v22.3.2                                            go-module  
github.com/cyphar/filepath-securejoin             v0.2.3                                             go-module  
github.com/davecgh/go-spew                        v1.1.1                                             go-module  
github.com/docker/distribution                    v2.8.1+incompatible                                go-module  
github.com/emicklei/go-restful/v3                 v3.8.0                                             go-module  
github.com/fsnotify/fsnotify                      v1.4.9                                             go-module  
github.com/go-logr/logr                           v1.2.3                                             go-module  
github.com/go-openapi/jsonpointer                 v0.19.5                                            go-module  
github.com/go-openapi/jsonreference               v0.19.5                                            go-module  
github.com/go-openapi/swag                        v0.19.14                                           go-module  
github.com/godbus/dbus/v5                         v5.0.6                                             go-module  
github.com/gogo/protobuf                          v1.3.2                                             go-module  
github.com/golang/groupcache                      v0.0.0-20210331224755-41bb18bfe9da                 go-module  
github.com/golang/protobuf                        v1.5.2                                             go-module  
github.com/google/cadvisor                        v0.45.0                                            go-module  
github.com/google/gnostic                         v0.5.7-v3refs                                      go-module  
github.com/google/go-cmp                          v0.5.8                                             go-module  
github.com/google/uuid                            v1.1.2                                             go-module  
github.com/imdario/mergo                          v0.3.6                                             go-module  
github.com/josharian/intern                       v1.0.0                                             go-module  
github.com/json-iterator/go                       v1.1.12                                            go-module  
github.com/lithammer/dedent                       v1.1.0                                             go-module  
github.com/mailru/easyjson                        v0.7.6                                             go-module  
github.com/matttproud/golang_protobuf_extensions  v1.0.1                                             go-module  
github.com/mistifyio/go-zfs                       v2.1.2-0.20190413222219-f784269be439+incompatible  go-module  
github.com/moby/ipvs                              v1.0.1                                             go-module  
github.com/moby/sys/mountinfo                     v0.6.0                                             go-module  
github.com/modern-go/concurrent                   v0.0.0-20180306012644-bacd9c7ef1dd                 go-module  
github.com/modern-go/reflect2                     v1.0.2                                             go-module  
github.com/munnerz/goautoneg                      v0.0.0-20191010083416-a7dc8b61c822                 go-module  
github.com/opencontainers/go-digest               v1.0.0                                             go-module  
github.com/opencontainers/runc                    v1.1.3                                             go-module  
github.com/opencontainers/runtime-spec            v1.0.3-0.20210326190908-1c3f411f0417               go-module  
github.com/prometheus/client_golang               v1.12.1                                            go-module  
github.com/prometheus/client_model                v0.2.0                                             go-module  
github.com/prometheus/common                      v0.32.1                                            go-module  
github.com/prometheus/procfs                      v0.7.3                                             go-module  
github.com/sirupsen/logrus                        v1.8.1                                             go-module  
github.com/spf13/cobra                            v1.4.0                                             go-module  
github.com/spf13/pflag                            v1.0.5                                             go-module  
github.com/vishvananda/netlink                    v1.1.0                                             go-module  
github.com/vishvananda/netns                      v0.0.0-20200728191858-db3c7e526aae                 go-module  
golang.org/x/net                                  v0.7.0                                             go-module  
golang.org/x/oauth2                               v0.0.0-20211104180415-d3ed0bb246c8                 go-module  
golang.org/x/sys                                  v0.5.0                                             go-module  
golang.org/x/term                                 v0.5.0                                             go-module  
golang.org/x/text                                 v0.7.0                                             go-module  
golang.org/x/time                                 v0.0.0-20220210224613-90d013bbcef8                 go-module  
google.golang.org/protobuf                        v1.28.0                                            go-module  
gopkg.in/inf.v0                                   v0.9.1                                             go-module  
gopkg.in/yaml.v2                                  v2.4.0                                             go-module  
gopkg.in/yaml.v3                                  v3.0.1                                             go-module  
grep                                              3.6-1                                              deb        
ipset                                             7.10-1                                             deb        
k8s.io/klog/v2                                    v2.70.1                                            go-module  
k8s.io/kube-openapi                               v0.0.0-20220803162953-67bda5d908f1                 go-module  
k8s.io/kubernetes                                 v1.25.7                                            go-module  
k8s.io/release/images/build/go-runner             (devel)                                            go-module  
k8s.io/utils                                      v0.0.0-20220728103510-ee6ede2d64ed                 go-module  
libssl1.1                                         1.1.1n-0+deb11u3                                   deb        
openssl                                           1.1.1n-0+deb11u3                                   deb        
sigs.k8s.io/json                                  v0.0.0-20220713155537-f223a00ba0e2                 go-module  
sigs.k8s.io/structured-merge-diff/v4              v4.2.3                                             go-module  
sigs.k8s.io/yaml                                  v1.2.0                                             go-module  
stdlib                                            go1.17.3                                           go-module  
stdlib                                            go1.19.6                                           go-module  
tzdata                                            2021a-1+deb11u4                                    deb
