FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/arm/kube-controller-manager,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-arm-kubernetes-server-bin-kube-controller-manager,"SHA1: 050e55ad425f19dce00ba82d2576e8be3c38a211, SHA256: d4e1f214f99564c1d2c4aab68f347cad61ca59952dfbef687251ca30a6ddeca2, SHA512: cc4833f3919c21bbc6f19412cdf60c967c1cad40437f4d9dc85d1da3bbb91cfa740c07b54a9ce59a9c2b5ec9f59a5cdcaa62932602c72d7a3dcd9103223f560c",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-node-linux-amd64.tar.gz,"SHA1: 3d0e61fab8dd693096ccbfe95db949ece56bf914, SHA256: a48bcdcb4c08678201a0921247e8c303d3fe2ea124528b1a7bb6d461818e0ffa, SHA512: 667e065d0d105177e6ae0f3e6382584d457b694cbe8aad9cbe236ffd29b386ba4ac0756a3fe793293602aa8b9c2256b3dcc27d860ded5ae6b8849fd6304bfbcd",Apache-2.0,NOASSERTION,NOASSERTION
bin/darwin/amd64/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-client-darwin-amd64-kubernetes-client-bin-kubectl-convert,"SHA1: 66efe51262646b1f6ea77152a0da069698aafb73, SHA256: 356b901c69e2f861610a04ac558729caf196aba1808afec4c7feba7485341016, SHA512: 233f7072983436a5b2d3a329b5ec66a4560dcaae9503e29987ad66ce91596062cbaf6c60a68549b14ac21b04f6f8dba0e713e0891dea23637061de8f1005e69e",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-arm64-kubernetes-server-bin-apiextensions-apiserver,"SHA1: 018a221a01f50af46ac37aef17728881a95230d8, SHA256: 4ae39a51a1727a70980bf6abb1b78541b692e627c5e00d1e4cfcd0ec558e6eb7, SHA512: 577c7a9e2b6b786512c437bd96449a8f1b4e4e26b27460bf04aadfe9553260935c3bb83d43e06335d344e6401b535ef1b1fffdeae3c51b348a807b380d4f081c",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-test-linux-s390x.tar.gz,"SHA1: 9ef607da05078dc3d51fb0cd2ebeb7bd680a01ba, SHA256: 02465b0fc04a08508af9540f2b9358a0f2e18e5070dfb3dfbeb7eba2cae2740b, SHA512: 00d8ce64fd6bb269d1d47db82c7964d05499f44cafe42d3d7f2f5c66a0d35166d721a2a143e6dbe94332d3d31d7dffc023ae9016c8a3741e08171117c30582e4",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-windows-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-test-windows-amd64.tar.gz,"SHA1: bb4312ca63dc06a311ad849e5dd2763f437ba031, SHA256: 432f076d1299b4f73cc07de78864aa36bf267585599b3bfb025f27f9c0717180, SHA512: 39aec69797177480e5b529372dd1cd76c8325f5ee512bd7fe0987dbdab0599cda5d78b0341378a398e0d8b6af56848476fa1445e0ac29c1b22dc71064b3f796b",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-src.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-src.tar.gz,"SHA1: fe2e6260c3f78cb74549b3affae4f54523445343, SHA256: b15b0ae4d89ec39f393a3b30ba84288cc587ff5d345f3648cc0d944b0b6abaf8, SHA512: 29f964b70673c1e66a548e11530a9643c7d0c24f90a6b9f1a3b3487923bf0b1627a21e23c35cbed713d04125807dd24f1efffccf93ccce91a83b0a05b08266a9",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-controller-manager,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-amd64-kubernetes-server-bin-kube-controller-manager,"SHA1: 82cb3a2a198e0f760ec29a2b55d1c33c3191b2f7, SHA256: 177ac052de288cf61dc71649bc499d172a130ba72e6aa3217b29c6a78b4d4cf3, SHA512: bfa857473c3c5e09d05c5a96a7f5d1d235293fda65f6887a259e588e38f2e1f1f3eae2e57858b0f71efe310f78a157650e1f4ca01ae982c36e2e242b629c52b5",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-amd64-kubernetes-server-bin-kubectl,"SHA1: a4081a430335ff0f12c18b88e0dd898bb03202d6, SHA256: 80e70448455f3d19c3cb49bd6ff6fc913677f4f240d368fa2b9f0d400c8cd16e, SHA512: 9b43652f95e3f5a01121e9857843d0277ba5e597a602f68d50e32b9057b94a9bcbf1c4eee1d7baf81e2dd737585c53fd5e7ce2bd5626c093a1675b3e126c26bb",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-arm-kubernetes-server-bin-apiextensions-apiserver,"SHA1: 1e5fa2887ff88e8109104ce44ae8a19e93b008bd, SHA256: 3915d289704e1d17adcb3cfc27969a8165ca5048b4eeca47b181a207ac05a59a, SHA512: 44c01d153cf6d1fdfbcdbe8256a3aeb98546801f5c48af1b26c133afca45c1d7c108017277010ad6d27d405d58f9f3338066a60f886fa4099a4628182e2f89b8",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-scheduler,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-arm-kubernetes-server-bin-kube-scheduler,"SHA1: 6a66465238d0f37cec17f5c7915a670737f13410, SHA256: e8e1dcbd18bd1d9c5000f11955a82db5ea7c290de311734b1997f2ce0f9c05a4, SHA512: 1fa74f38ec3c12fe5f6cd1936cc347cde12c0dad1d5b479d66a18b16036b25733f4ca992e1c96258443365225e8002a9f0724e76a9977fa27776afbda428a515",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-proxy,"SHA1: 35374b0978c209a321e8c59268329407fd1356aa, SHA256: 5f9da8b8081fa37d34c6de8dd185acb692b47c2cdf79e9438619c69102b4f55f, SHA512: f34d54d2a43f62b7361acaf05fddd750cead324a3e0392a925e15da60252bdf936e5d5fb97ec924c42ba65d65a4cb5a7ae029f1b7eea3a642844118fb0497009",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl-convert,"SHA1: 9c25ec5875259fa9c6298ed389773474e3ffebde, SHA256: cd478faba088651ae95496fddf46442e12f9f73ef2686d3f2b236416ac5e2a20, SHA512: c8476b3ea24c5cdf2426cdf6231ab23205f51d73024b883c366c9d9b6f4164e60d31d998f32acef270bd40e710692384ab876d811049d3c9ce3120b347e7728d",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubelet,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubelet,"SHA1: d9a85adc6645a690def445185d4c5a534c3685ba, SHA256: 98927a677d63079da20a1101f892d977a84b25bab5f811aebcd66687566a4b2a, SHA512: b2db505374ef98f7fc978c69d9d5ed8688a816ca9db52bdab1fc9a8ce205ce114b9a01a5779bf58277c4fd94264e585b283823df1f1feb1e1dc3da27e7158436",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-server-linux-arm-kubernetes-server-bin-kube-aggregator,"SHA1: 1caba9a792074285c9afb78e840efcb58e778a67, SHA256: ce11cf8f0ef8393581ee10a46cc00152d6a5d42fa934136cba0e68d51eadee9a, SHA512: 53dec3ef6cf50bdc45e5666487f8ca273257c8b924da8702d76685fbdb34fc0932e6beb49a30313cdd7f355dc535fd446bf69b5a684a4f89a5fb07a449ea5f45",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kubectl-convert.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-stage-node-windows-amd64-kubernetes-node-bin-kubectl-convert.exe,"SHA1: 368776927700b5a7c4730e1af3921b148cb61fbf, SHA256: d762d556332646ed7ba4601e5757cd03b4783045179bf1867db7615e36a4bf5e, SHA512: eafbd1b89e72f1866364fd20b1540bd733ea5b01339ba03b9b17a8d7bfb04084dd2f866e3ab47fc81a0b7795622aa4166ebe35ffd315ca1f739dd25c2842581a",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-client-linux-s390x.tar.gz,"SHA1: d1be54a9e07e7ef80fe42c6c38fdbd5638404ebf, SHA256: aaafe208a57f68c5f28a6d84926adbde750612572cd51995a4772387651268e6, SHA512: 50cc96108fd0a3f6ef52d633a22662ee798395a1926f1fe392018f530c7a0cf67df278d2286c12c72fb5c1d774e85cc6abc9368e2c56d59b6a47bc7b379e6d3b",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-manifests.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-manifests.tar.gz,"SHA1: 611046f9b053578da8b35878abe0c44f4a7e9b89, SHA256: 111ffa4e823591810508228f57fa9b5a967b5703e75aedd14514e35b32620cf2, SHA512: b26db99097d288883b5cbcf9a35ca1f035efe77bc867904bd37afca45c5e4ae71bc4e9ad010a5dbef593b341781dec40a57a8f8a208638b5ea0917f4b958189a",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-linux-arm.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.8-release-tars-kubernetes-client-linux-arm.tar.gz,"SHA1: bf9546948d3f394c21a0c2d2aa1d59e145ba2379, SHA256: 613c29fcfd1bb21ba58267e62ac53c51b9fd982e5cd23f23199aeefdcf7a224f, SHA512: cb8ea52dee6d98465e599a9a4d4475abde3046dbc5d034a472b80003ff6565894eb63b52027f6def4378d066556799a3b0ef05b811ba3c69ea3a487f74f21d24",Apache-2.0,NOASSERTION,NOASSERTION
