FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/windows/amd64/kube-log-runner.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-node-windows-amd64-kubernetes-node-bin-kube-log-runner.exe,"SHA1: 9912614a652044b0f3a2a07b8aafe8d07fbd2e88, SHA256: 3d8a7e3e46ef2a86deea4e8b35eb323d6a476a660d7b0c86ef2629c3745daadf, SHA512: 01b3c96d6fb82ba88a2ca00a0e0aec2fc796b9554fbe7c0eaf2f211e64c1411371a2a01387efcea0410b6399bdebd67a7f80ab61d08f479741ef4d2cf773e774",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/arm64/kubectl-convert.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-client-windows-arm64-kubernetes-client-bin-kubectl-convert.exe,"SHA1: 3417558c9ada7daf56b174d3235339ebb85e4e9d, SHA256: d7851eae1059843dc42d7845f22a093e36f72bb46973a4822398a3977e7b940f, SHA512: ac9af52c29d7c5721a25a301e413c4c7cbc43ab98627805782837000d4254772c08a8a4d95af356270f0496184e7b3227117cad661a17676b483cb65295fc026",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-arm.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-tars-kubernetes-node-linux-arm.tar.gz,"SHA1: 7a794f663052c2c79810e6e8c64a2f71ac429bc5, SHA256: e22cf50f0126397749b47384ec2845260542309bf6247cdf5907bcfe6fbce2ab, SHA512: 13fc8a993cc6ad5c5d260f559dbe613b8aa853f216caf56357610b77500c8a4946586e0c283021dc46e3b7f1272779a913d9ef050a7c7f8273c04abcae009c5c",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-server-linux-s390x-kubernetes-server-bin-kube-aggregator,"SHA1: 2d6308af6dc3dae3c7a5db2c4f4514a0297a9359, SHA256: 31736c7e674410c90cf172645c50c4ae6c3900d156d4c9bfd08341639f8d1b8c, SHA512: 3f1eb1d2219271cc29a992f840cd2209ce02e43e4fee4a41382a805116f62cd0571a11fc2afd3cc27e3189bbf6dd1c7e0c3ce0e6bcd3b871a17379d8a91c0805",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-aggregator,"SHA1: fce9f94969c63f4ffe80a9679605c656637269d7, SHA256: 29cbbc7830c2976f1a443bbbd0c575295cb71bfb51a5494e2a1370bd9642a064, SHA512: f586ddc231b5413782c820ff657cace6464bc6bf49c77c2230b366f31c6ebe7d8bbb1e5f26ce179e4dae06394a263341843a8629cbcd9569b732cacdc3a99c9c",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-darwin-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-tars-kubernetes-client-darwin-arm64.tar.gz,"SHA1: acd863d2863d08e6d7b805cad8e215c1ff74aa1f, SHA256: d4253caa1df349e801a24a3ee97ed376e5057cdea2444151102b33dc22d5bb6c, SHA512: ba9c72d75ae09c0fac0c29ff9034e3a94882f3bbcb1de1f8bcf7c65453048a4588980694b4d33af4ccd0458dfb9549fd8fd07a594dcc995743a8d154066ec09e",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-windows-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-tars-kubernetes-client-windows-arm64.tar.gz,"SHA1: 19de661fac2390e235d082d315891a0d76bf4008, SHA256: 03f4bd3cbf2b9bf1ac6662b645bc5f606a59f59c245b76e17a66711ed6cf67b0, SHA512: 2a2b664e7f98f02a81f6845e05e2ed1159381f3fb68fffd8edcbd2c36e942962260da980887b44e1cf150b25abb5e69b9519be7c9cb9e5b3a5e7ef8af7523654",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-server-linux-s390x-kubernetes-server-bin-kube-proxy,"SHA1: b800ce05fdfed51fc71cb6f4999de7c7f7279be2, SHA256: 38f505997e7216760199165aad583c9f553e579ef1b07185bb9e8df3077d25c7, SHA512: b2b82b9c475e24e3e553b56e0140e14ed307edf0a36ab5093a28bb680862093b1455b078137cb416d6000b73cc3f912c7d2c045b8473c5517b267cce76eb0a6f",Apache-2.0,NOASSERTION,NOASSERTION
bin/darwin/arm64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-client-darwin-arm64-kubernetes-client-bin-kubectl,"SHA1: 5dbb8640216f81b643d92481df91a523eb943338, SHA256: 49cebbdacc6e3b86103bfc8a9ddf054e60968d3a64b90b71672d1d1b9d6dc168, SHA512: 5a208100dc136cf1468d70197679b1e6b69fd5ebd8fb91b59ec01d96102017224dce2bdfbd250a1d1c8fe1dc4abed607553ffb2101db5de58570a1fae3d60d6c",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.2-release-stage-server-linux-amd64-kubernetes-server-bin-kubectl,"SHA1: a8fb045a3170ea7149ded5792dccc46cdf88217e, SHA256: d044a23ec5bfe9cce9618d003d8e382345ba3c5f03340b087c79fa0de5d96304, SHA512: f2aadb65c2e7cdf6f912d6cb7cbfc016866294bd8f85d8a44252d3f41217b8fc0309f7bed5c274b813fc7771afc097770ee61c190b5815f2907ecc7e6d5792f6",Apache-2.0,NOASSERTION,NOASSERTION
