PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-alpha.1-release-tars-kubernetes-server-linux-ppc64le.tar.gz,N/A,N/A,N/A,N/A,N/A,
kube-scheduler.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-amd64-v1.27.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: c4ab24f86364cc8f75876850df5e09a9e856743e, SHA256: d4f95b9d2cedc24eb6462c48119309b5618fe6c3ff369cc3d9412eaeb3670b7b, SHA512: b64522964985a7fe75dcdd5c60bb604136b4dd8b7b3e79ec907017cda5ef30d9a4c18fef7c82eb375bac892734f5ca2663a70bb50d1280b34001934b85092fd6"
sha256:cb60fb9b862c6a89f92e484bc3b72bbc0352b41166df5c4a68bfb52f52504a7d,SPDXRef-Package-registry.k8s.io-kube-scheduler-amd64-v1.27.0-alpha.1-sha256-cb60fb9b862c6a89f92e484bc3b72bbc0352b41166df5c4a68bfb52f52504a7d,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 1f78218ab14034b9ce7264c0aa2e10057a47ce37, SHA256: cb60fb9b862c6a89f92e484bc3b72bbc0352b41166df5c4a68bfb52f52504a7d, SHA512: 27807b34398d661d25a5d5cee32b627f96c85f2ef4be2618bba3495421d7429dae8d32f4d2f63ffd572b1c4980110c9f7e6df39198c386708b0c42d1fb2707cd"
sha256:65069b0a73ced17c8574fd0dd95925a11982c4f5e7bdcd20adc758393b2adc4b,SPDXRef-Package-registry.k8s.io-kube-scheduler-amd64-v1.27.0-alpha.1-sha256-65069b0a73ced17c8574fd0dd95925a11982c4f5e7bdcd20adc758393b2adc4b,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 582c82afdb6f33b1d8a6237532f3c5e290739567, SHA256: 65069b0a73ced17c8574fd0dd95925a11982c4f5e7bdcd20adc758393b2adc4b, SHA512: b3f15893f0fded5a9a54cf29ea6c40cf20d23d1f6c8123333b03bec813ac21bbe4079b2cc154b7b47e1be6e661d0ae162dee3235926b2151a61f5683b04d0574"
sha256:7501c4c23a05667c143e60db6c30fe4e7d0e168d0f5a4794522b6dd1ce0aeac6,SPDXRef-Package-registry.k8s.io-kube-scheduler-amd64-v1.27.0-alpha.1-sha256-7501c4c23a05667c143e60db6c30fe4e7d0e168d0f5a4794522b6dd1ce0aeac6,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: f899e846d0199b0d5cb977f0abf46cd05a97a004, SHA256: 7501c4c23a05667c143e60db6c30fe4e7d0e168d0f5a4794522b6dd1ce0aeac6, SHA512: 77f4f8c2af08e9cd62f1ab97231739fe85fcc6c8d51525048ca4cfd1c468b4c6953d261f75fbc7bc26c96cf90bb2e2fb738e17a4514ac208df41ecd99bf6f9bd"
kube-apiserver.tar,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm-v1.27.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b167c9ebc50cc38a0224c3a406faae89a52bf03b, SHA256: 6c16f9bff92d67f402e9205e9b8497ba71e95970822c1b6fe6a4e02c2fb5e90f, SHA512: 94f5ffc0d9c3881dedf1e1f06af2df11db1390aa6ff414bc04aedf09b0c9ec09ceb90483be2c6fb73220727bf3b7083af2f0ad5bcabfe583fc160e23653f0e40"
sha256:58fb86bf4ec691d771943aabbb6887493b764c11c3c0d785e67051a7c2300553,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm-v1.27.0-alpha.1-sha256-58fb86bf4ec691d771943aabbb6887493b764c11c3c0d785e67051a7c2300553,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 86602130e297f2b2b340e996112cf9a45269fbf7, SHA256: 58fb86bf4ec691d771943aabbb6887493b764c11c3c0d785e67051a7c2300553, SHA512: 5199d962c3e17d241fd3ab7d3cc7c62d4f089d69b16428f59d42bc475133e486a1668ff455680ad67ae4175732db2bfdf09e278244a773d1eaed4c263d34e104"
sha256:91116927fac15da9c7a683d5e4531042757a913019f614bad927e752a1b878b1,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm-v1.27.0-alpha.1-sha256-91116927fac15da9c7a683d5e4531042757a913019f614bad927e752a1b878b1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 65c683e009eb911b6bc894dfe7900bfdc2f1983a, SHA256: 91116927fac15da9c7a683d5e4531042757a913019f614bad927e752a1b878b1, SHA512: c00a4eabc9ae8e3226448da78569891bd706df76c3671cd1004a28256fee362c0fc1e7151f7bf2ea08a7d45b64581503577c995c9b206dc7c7b9439aaa520874"
sha256:ec16f56c293c16cd670d730fa923230981c5948024bdfe30c0943e6160393a8b,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm-v1.27.0-alpha.1-sha256-ec16f56c293c16cd670d730fa923230981c5948024bdfe30c0943e6160393a8b,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: cf71d4bbd20ad629488d0b33921677079cf83e8f, SHA256: ec16f56c293c16cd670d730fa923230981c5948024bdfe30c0943e6160393a8b, SHA512: d291fe7dbe4a33957ad85f8a17e99c870d13c6c1852de931597f9ee2015c71db98407fda52d2acaac3bda12650a6c507f9ba16249d7f2498cd7b175c91e2617c"
kube-controller-manager.tar,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm64-v1.27.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 679cbb4d07fdb3d054949d410a4aee761c683dc7, SHA256: b5fdc7e6ed39282c31597183d231d3c7b4b300840431073a2fbde90d5f863c7f, SHA512: aaf3ac5c9658ebca0e991581c85aaf35ae2a38c3498d34188c84c1f3c99a7f9290f74c7ded1eb66231cc6c3f9835b8501a968a292b319676948d36876a299f7f"
sha256:fba4381f2bb70de24aadfb483fb2b5254e81b0f8db1959526a1beec8370363bc,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm64-v1.27.0-alpha.1-sha256-fba4381f2bb70de24aadfb483fb2b5254e81b0f8db1959526a1beec8370363bc,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: a6ba66313c8c37af8ef0fde8aa37f629dbae38ec, SHA256: fba4381f2bb70de24aadfb483fb2b5254e81b0f8db1959526a1beec8370363bc, SHA512: ad3058768933457e62c32a62ec327187fe6b0b89c2f534d4557cbcd87632b72f11b0f50b1d94187281bf6fcee0dd6a5eb02b44fd2a2eebb22ab5a30027e58008"
sha256:3485cd3707f32800c342b6e51319fd75cefdae68cfae14b87056c9bdcae6a05b,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm64-v1.27.0-alpha.1-sha256-3485cd3707f32800c342b6e51319fd75cefdae68cfae14b87056c9bdcae6a05b,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 09524459615d49506b360b87371b1dcb11f5bbf3, SHA256: 3485cd3707f32800c342b6e51319fd75cefdae68cfae14b87056c9bdcae6a05b, SHA512: a996418e22e80e2e291d41da4a8fea32bd488805a43c2f774b7ef79371398b9f2878b892a71148ff0253018801f04ac7358e23aa3139a963f5a34ae09c52923b"
sha256:3aa88764d378641d082a9fecc914b1fc43db37c3a930be453d3702bae191b5bc,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm64-v1.27.0-alpha.1-sha256-3aa88764d378641d082a9fecc914b1fc43db37c3a930be453d3702bae191b5bc,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 03e590c2f7861f42d9b7ed312ec80da53e359e2d, SHA256: 3aa88764d378641d082a9fecc914b1fc43db37c3a930be453d3702bae191b5bc, SHA512: b982e9a59052dbc3e04e28b93ecac3a0499f48bea0f06bd6ec2203c37e545f7f8e3723b43a58f624d1ec115744bb6861e4ef683184673269b2ff5542707265f1"
kube-apiserver.tar,SPDXRef-Package-registry.k8s.io-kube-apiserver-ppc64le-v1.27.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: ce0f96245c1f460148e912bebd88541a4b3ef560, SHA256: 6661bb72f1e19502d5c5e08f5dd929ba13e69fc5d49dd7e703c2f10c7cc384c9, SHA512: e9ec5422e5f5d7b90c1e410240153884a8d94ca2658099a3c7617106f2cd4a07b34084c9ba3b86677d05ba0f39f3172bd7e54bb3793fcaa068c2e97162e3220d"
sha256:220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7,SPDXRef-Package-registry.k8s.io-kube-apiserver-ppc64le-v1.27.0-alpha.1-sha256-220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 083fad02e793e44baa581309d9a846f5471616c7, SHA256: 220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7, SHA512: 0500d5a3356df47698632a16613a7d1421a9e1b254e48b3d39a527af16158843b48061f80ccf19dfbcdcdfc9119225e966e808b9f9a3cb494d1590440b192345"
sha256:c3e8727964cfac5e7f99f9c1475adc97d0769bd8fbfa053c80d12ff85ee18556,SPDXRef-Package-registry.k8s.io-kube-apiserver-ppc64le-v1.27.0-alpha.1-sha256-c3e8727964cfac5e7f99f9c1475adc97d0769bd8fbfa053c80d12ff85ee18556,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 7e7050d8f6b0d4ffe99c6ace0904d43f8f5c427c, SHA256: c3e8727964cfac5e7f99f9c1475adc97d0769bd8fbfa053c80d12ff85ee18556, SHA512: e12c5d10200e239777aca7d6aed3b44458a2d3c5698f0c0c70eced47968de3955cd0b0b2babbeb9977d2824afae43d565582c1b3ffba2639020152d633c174c3"
sha256:a5e85b438b98cdbe819382a354a8f179fc8d435365dcdbe7fe86b754b208cddf,SPDXRef-Package-registry.k8s.io-kube-apiserver-ppc64le-v1.27.0-alpha.1-sha256-a5e85b438b98cdbe819382a354a8f179fc8d435365dcdbe7fe86b754b208cddf,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 3aff08e9f5d71507c4437ae31bae06f2da0814c6, SHA256: a5e85b438b98cdbe819382a354a8f179fc8d435365dcdbe7fe86b754b208cddf, SHA512: cbbc490a2ba7d1cee50d3a9d1b326afcdf36de03feac1e3af00307cc9a084e521f60a77c38f1aa46fa62a0137438baece1282990b815ba6eb208574839d59d3b"
kube-scheduler.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-ppc64le-v1.27.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 3b5fbda317e5a1c9d5896ddd904c262127733a3e, SHA256: d2728c8220d5d04e20c11299ccf9cab4ace26d0a524358482dcaf0b76e642f56, SHA512: aa9731a785107f56d5187c8f4a822db6d69b46bb023e0af9a0aaff7651cab9cc79fea5a753ca70caf753e57c16dc3f467240a615a8ec486b11a0e0c6a28bce56"
sha256:220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7,SPDXRef-Package-registry.k8s.io-kube-scheduler-ppc64le-v1.27.0-alpha.1-sha256-220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 083fad02e793e44baa581309d9a846f5471616c7, SHA256: 220b02219ebd9159d9b33bf6775a80329e9100a2fefd5728a06f0e129bc0f7c7, SHA512: 0500d5a3356df47698632a16613a7d1421a9e1b254e48b3d39a527af16158843b48061f80ccf19dfbcdcdfc9119225e966e808b9f9a3cb494d1590440b192345"
