FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
kubernetes-server-linux-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-tars-kubernetes-server-linux-arm64.tar.gz,"SHA1: 29d2b3f175ad518cb4dae7d3b45240a87fa27f79, SHA256: 5e53585a09054463b938b8196c6ffdc704a08a92dbcf86eaf688170c05421396, SHA512: 07e9304f6864f4334b9710ad1a130044c9b1349bf9e47e5c9857b688322abe5babf45a95cdbad3f2650b5447c11864edc3d50fa86de5d485e84730260efbdc8e",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-darwin-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-tars-kubernetes-test-darwin-amd64.tar.gz,"SHA1: 55f2e29ff47f7bdb764ff4bfc5b15d21654ce885, SHA256: 85a2f3eb1e68f78e9dd968d49801516abb572dee390a420e041f432946fa55fb, SHA512: e0d1d1e99af69e0e83579ab3e98fdf3374ffb8c29eb4927335e16c2ccc9aea74fc09f00d9daf9b177cb77710a9cfee3da9d6545a9d92028b218af9574a6f2602",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-windows-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-tars-kubernetes-test-windows-amd64.tar.gz,"SHA1: a339988710beccc93b99f0786d481297e69a6689, SHA256: f4562e6dbb900ef0af787b6105972b2bfa999a16466856a70e6a9471fe92d38e, SHA512: dbaa2a319d73c21174ac665ecb8963b7cd8b2558814716ada5c9d6a5c30fc0a913ac94e7e2b844295b8e60d45602e0197402f86dc540081cdba43d8e968642d0",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-arm64-kubernetes-server-bin-kubectl-convert,"SHA1: ea46fbd1f30c500d4b4cc42fd84da9711bb924bb, SHA256: f9e62563173b5e3f41fed7b7521f43e7a0cb5c2f95ab93d2e9b558d8f7c0de90, SHA512: f8b8def662bc8066f2489afeca86571e665956ae36f43817961391a9f981be07b5c076fea0cd277d4cfea74c4dc88dc1162f3668c81662de2a3e7a898285cba5",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl-convert,"SHA1: ed3907101b69f9f8ae3ff8f3104d06a901dd8d30, SHA256: 886548e81a9581bf6e6ffc74232692079877ad1afd34318943fcf33f0a050bda, SHA512: c5b2fbbd64e3dd50b001a6d03ff41579a40c72813c86deb6196fd17f5c0b013e879b5dfb137b9fb11d5e9bc291ca8057ea8fe2c6ea7cf41a6e63d95ee8074d43",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kubeadm,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-s390x-kubernetes-server-bin-kubeadm,"SHA1: 99ac7331a4df3bf636cf5adf9a9b8b1b2b1d84b5, SHA256: c48f257371537a58c88b74b01d6e3a41898f7ee902c49040282ae978cc95a0de, SHA512: 5f03dd88e8ffbef938c98585101bfe9ee3cddff147b879d3f1a0c433890462943fb01162af2406037f05e0026bea01eb9cee852f34a23e7f693c6b795d809f05",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-arm64-kubernetes-server-bin-kube-apiserver,"SHA1: c10581c09686fa18709ee62cba55b2bcb2b87020, SHA256: 7b0bcb276153b607be84dc3d40ccd59da53e3fc1da7274fe51ab30f52eb01b30, SHA512: 62ae92eb05c075b5031e066c1a7a93ab482a46f1f1207e5417887dc3d45aeb1f3908cbb5c71fdf4d11dbcc42fbc3e4c7ab395d227c522becd2216e4bee9ee803",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-s390x-kubernetes-server-bin-kube-aggregator,"SHA1: f2c5890aa3f42631f3c61cd92b7c391d88840958, SHA256: 6b4f1d005d70188266cd53d11958968e60524ac2c6e8e7ba7ba0d906987b0737, SHA512: 6d25927e85055dbdb5fb6178d2bab7a1329a347176a541b71da6cd3d6badace0df1d75f316443088c633d101fba9d57c1aa19ba1cd9238309166f82039e4a2e0",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-controller-manager,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-server-linux-s390x-kubernetes-server-bin-kube-controller-manager,"SHA1: 56d170ecc35b2f2452a605f06d6252ee6f8c328c, SHA256: 795b291f9ceeeeb6580c30816462b464243eb66bf009f58473fc97b6b6205975, SHA512: ae4223d871fcade4577e970e4955b081bba477735ca6bf06886396714533d3e06ea5b556e285f0f07f0437d72499f96ce3f5d4f0619ef14d3ba652b8220d5ad1",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kubelet.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.28.0-beta.0-release-stage-node-windows-amd64-kubernetes-node-bin-kubelet.exe,"SHA1: d87bdcd245772ea38312088b56d08bd30b896076, SHA256: 9042191eca59bd7c1af206b95b29490b15ef687658f8e315c56c3f0a3263de69, SHA512: c46159007bf743fa768ac33e0d38b30cf62ceea8cb0d4c8a0a261b444d20fd25aba362c334f4d5b092fde705ed9da7175ad4f769cf82ebab98a63f48d0f85a67",Apache-2.0,NOASSERTION,NOASSERTION
