PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-tars-kubernetes-node-linux-ppc64le.tar.gz,N/A,N/A,N/A,N/A,N/A,
kube-proxy.tar,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.29.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b3a9f3332d18ced1622b0466dd8448028997e5d7, SHA256: 68f5efc30df4b5443fd41299f1a6212865afb6101111737966b84f0a83ca9dde, SHA512: c33e833318a50fad208e894068afa93b2e107a72916551e343368540460608ce73bd87bf46e8a0eb5b00c195eef835371496577050c14add2c6fa476bc6652c4"
sha256:9b4c58f105e97ec872f58ec8586902886013dddd6844ef75ea2ddfabf17bacfb,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.29.0-alpha.1-sha256-9b4c58f105e97ec872f58ec8586902886013dddd6844ef75ea2ddfabf17bacfb,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d8b9c583f9ff1677ed4cc12ad8530c52a3026f1c, SHA256: 9b4c58f105e97ec872f58ec8586902886013dddd6844ef75ea2ddfabf17bacfb, SHA512: 945c331a773a3aed32dd046de62381d2b3cc7b20e17a67ff4f99dcd46bb159ae756cbb4a0bbdfa4aeebb35c64af31ea0bd890a368e2e71bd53d1595aaefdc9ef"
sha256:2b0d43d2d6ff020ab7a46ec8a5ca1813b225ac1f2f8aea6a4210a317df5f02aa,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.29.0-alpha.1-sha256-2b0d43d2d6ff020ab7a46ec8a5ca1813b225ac1f2f8aea6a4210a317df5f02aa,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: a6808ff024ea305fed712a22fb4743e895019327, SHA256: 2b0d43d2d6ff020ab7a46ec8a5ca1813b225ac1f2f8aea6a4210a317df5f02aa, SHA512: c54cc1f1bec3a967cbe4b48bdc9abbe14765c182db0988a88b9d2eee4f1e1f3c5f8f6229716e518f60f2afb02ac3770f4ec51703ca52259a86455402aee21074"
conformance-arm64.tar,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 2d24cccf5a14894a54ce132dbc62ca024a1af50d, SHA256: 4edc98055f4f43104f814ea98f256b0f92f311a7b674b9c7448803f5bf72c1eb, SHA512: 714a8dcfcf115685d2b0658a5bdb4a9f83df7f0859406145aaa920996c8b7de2d5b353dba3bae608490e96c336f6a15410404041f56cd261f19d88b6343acb3c"
sha256:d61747973da5041361c5cb5a50208a2b52dcae445b0917523dd7e1569c80f27e,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1-sha256-d61747973da5041361c5cb5a50208a2b52dcae445b0917523dd7e1569c80f27e,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d6ab04276bb81de1b1a81e01020ae723ab8264d2, SHA256: d61747973da5041361c5cb5a50208a2b52dcae445b0917523dd7e1569c80f27e, SHA512: f745d6c766c01e2138fd0672af715bf07b43fa063da4dc3a0c501dabd621daa4a9f1fb8e3334dcee8a24de0f027d3e2aceca9a374ce36ab399873cb6420e5fa6"
sha256:854bbfe7c0c7b0c3ce72d7f7db78a822760c9fc1dce3fa096ada0797f2ecce58,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1-sha256-854bbfe7c0c7b0c3ce72d7f7db78a822760c9fc1dce3fa096ada0797f2ecce58,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 44f2f01b34df24766d04cdc2a1a175e1d97ed241, SHA256: 854bbfe7c0c7b0c3ce72d7f7db78a822760c9fc1dce3fa096ada0797f2ecce58, SHA512: 084f5f7a43b0ccc324e21263952145b449fd81332b7820f74220126242373f4f3bf4b75b26860d9e458d62c8ef7417c7e253dcfce03436fc24d64bc22c328781"
sha256:4eaac2b5db6500282ef68b78a5038559812df59935c2f92b7f4877c49e84cb6a,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1-sha256-4eaac2b5db6500282ef68b78a5038559812df59935c2f92b7f4877c49e84cb6a,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 39c117d55a315cd98dc6a624039c557a3cb3cede, SHA256: 4eaac2b5db6500282ef68b78a5038559812df59935c2f92b7f4877c49e84cb6a, SHA512: 08b6c0004c52e8504119cc235bdc902afbe52fbc3ccdb25aa7ef369f307d0e34ad561e4b008c6833f4c83828e140eed4a30f8158b0fb68f2febfcbffdd87ada7"
sha256:283dcdc688672e34c5271b75e402f14ec922033d5358f33137e20f1dd08ac6a2,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1-sha256-283dcdc688672e34c5271b75e402f14ec922033d5358f33137e20f1dd08ac6a2,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 8ca6e518b5b07b358bfad2bf67922bf5b1a11170, SHA256: 283dcdc688672e34c5271b75e402f14ec922033d5358f33137e20f1dd08ac6a2, SHA512: 562a7257947f11e6b274205901a6620d4e74d98a9584b8ccc6e69f1563eff0ea3ba101158f2c52dc2ec27a521d4d4a97a6eb145a885b7e0ad2263e21a7d51a14"
sha256:eb55a2f0b097e852d614352a7a7074fe64b1d3e6be66e92167f44fbc8cd3a71e,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.29.0-alpha.1-sha256-eb55a2f0b097e852d614352a7a7074fe64b1d3e6be66e92167f44fbc8cd3a71e,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 9d29ac3437ec43bfb63334c53640e2e90823203c, SHA256: eb55a2f0b097e852d614352a7a7074fe64b1d3e6be66e92167f44fbc8cd3a71e, SHA512: dc3c15e1bb2a9266fc858770fe36d9e2ed89eb0ad559a86733cd2da90ed4a12c117f77a641f55f4dfa75d7e9a87baaa0b60b215e241ae824d40ecd9211933fe0"
