FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/arm64/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-arm64-kubernetes-server-bin-kube-aggregator,"SHA1: 2e98f070a19cb5e8f08528159705804a6dcad945, SHA256: 5c1c43fdbccf45061d12d8ee9e7c946e515b609080399afa41c85c843b9d2592, SHA512: 8d99e540b0f24003cb7c670fa243217e0b080cca6d42298df60752b754d44973ccdc9e1715d248630b125971e37a5691ed9aa371d1562560f8eb497d386a33ce",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kubelet,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-arm64-kubernetes-server-bin-kubelet,"SHA1: 5343650f215622ee89ccbd9ede5ad5e9967bb223, SHA256: f8e02972e0b2faaf8d12920e32b2cd28446354fb2f658b355a222877add72a11, SHA512: d50de0bea9ee10b2d9668a82dc7acfc0b0787c44be757c3cf77213419cf77241ca65e88d88d34cf2a4c554148158160d9df074ac322e4b8d3c02a87be76af16b",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-scheduler,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-scheduler,"SHA1: 5df6b20000a25230299ae4765a709acb3a438a33, SHA256: b6688051f9536ccb348e8357472cde2d9c3f899c3ae99f5509e98b963f39341c, SHA512: bc136dd8acfd893095c9bf15d50b52a6f0a07702ef8b4acd402911fbc63a352e03ccdb1fb112b4335caf3cbccf26b15717bce9b66856513e4cb4135c2f89dfcd",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-s390x-kubernetes-server-bin-apiextensions-apiserver,"SHA1: b07cd0cb9874e2bef2ebfc4edf3a3a2ab4d6d96b, SHA256: 8cf8b8916890fa716158f6470d96c6bd6254311db7b7835cf50f271b227538f8, SHA512: f2949655893d0e0c7f2b8ee4af4cacfe3eb9192399a5a12df9bb305a8741b0ea531169d40fde482dae936be0e0fd83f54f47423a9cd03729d2e51b2b51ad70b5",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-linux-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-tars-kubernetes-client-linux-arm64.tar.gz,"SHA1: 9030185b27161c945f21b4593578333b441a47c0, SHA256: 62303b56717890a3e686bc2930f830f31a7dca7da167f8a7df35670ad270c10f, SHA512: ee3ca4626c802168db71ad55c1d8b45c03ec774c146dd6da245e5bb26bf7fd6728a477f1ad0c5094967a0423f94e35e4458c6716f3abe005e8fc55ae354174cf",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-tars-kubernetes-node-linux-amd64.tar.gz,"SHA1: bf0c5b7ae576d6c46b5448e6785155d3487098c9, SHA256: fa0758397d413216550612d7f20b30082b164230f588165e9bdf6865d894bf30, SHA512: 44832c7b90c88e7ca70737bad8d50ee8ba434ee7a94940f9d45beda9e9aadc7e2c973b65fcb986216229796a5807dae2470dbcf1ade5c075d86011eefe21509b",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-s390x-kubernetes-server-bin-kube-apiserver,"SHA1: a79943b1c409a6da07393a3cd211c75b6e5a889d, SHA256: 3d6c68f524809388c7861b7b70bb3e30a3794b515cfde9d9fad7527deaaaf782, SHA512: 958caf8c992adea84bcc743d3292ee1ee0f8c977b3896731378031608868290b19c811f526a0119427e57cd7480d3c9865aee8c5d67a9bc2a73d6de6b386e631",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/mounter,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-s390x-kubernetes-server-bin-mounter,"SHA1: e12304a4eae116ed62506c45186f371a98fe868c, SHA256: 4bab4041bc2911469a18f46832fef568e1ee1ac41eb418417f4289d2d3bb1fac, SHA512: 3ba897c25d6a3341c177afacbd9357a5048e519427965f8e0dbc0e5c4cd381ab285bce512c5a0d49ec9775ca2c4e8c8c9dd63f37989644fc233ea2c309887315",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-manifests.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-tars-kubernetes-manifests.tar.gz,"SHA1: 9c971f8b35c3d19164cb501c8a2ff029c6a972a4, SHA256: bddc0c65b5a740c6bc963e47dada10ca87a03742e8a446f1e8ccd49ec4a68d5e, SHA512: f90113c9c0d2244322f84418fbf1da72aa62ca90ffc697d3c8d1fbab63f3509ff6fc41666624f58050b104a429599bae1d4e797c4d934237950ca2324348bbc1",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-amd64-kubernetes-server-bin-kubectl,"SHA1: 309ce73d0529df48b3f1359c957286f8c2619d19, SHA256: 7b0df605926dcee1efbb58eebc87ded4d9f776dc0d2d59c3ccbf59cb0cff3ccb, SHA512: 45643dbc950801fe6f2bb6feee8fb1620254c2e1d6bd02923e367d511fd0af36b14b32e6498fa8071236115678d9d0c25a0dd9beba07e604f83d0f2b8cbfdf5d",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-server-linux-arm64-kubernetes-server-bin-kubectl-convert,"SHA1: 8edf5080f04e41b34c375a536a74b5cc4b125818, SHA256: f7a66e18195c08ef35e4ad96df87345df56509c7e3cf0995de9cbd252bb632cd, SHA512: da9ec9e895747aa154fc5be9fb2ec6f6eeb1d47f7a1f26942937e6eb5399632ef5cca75be1948bf84eb44d433d5e5d9dcfb608595aae31552ba20af3463466ba",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kube-log-runner.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.29.0-alpha.1-release-stage-node-windows-amd64-kubernetes-node-bin-kube-log-runner.exe,"SHA1: e6bbd572f1356322d0f1f53b250f6cd9b08891c5, SHA256: 38febf0cebe1fb62218d521186e8b87466d20c7ac0e452e2e9853db9f28185ac, SHA512: f978c88e6dc91d667c4b64f993939b0f855a4097d4e8d5f577a4fc7a57ecaaebc1b4921c2a04a7c6b5a712910c63a0dd10f95c2f6ddbdea42896f2ac615101b0",Apache-2.0,NOASSERTION,NOASSERTION
