dependencyName-Version,dependencyName,dependencyVersion,SPDXID
github.com/libopenstorage/openstorage-v0.0.0-20170906232338-093a0c388875,github.com/libopenstorage/openstorage,v0.0.0-20170906232338-093a0c388875,"SPDXRef-Package-gomod-github.com-libopenstorage-openstorage-v0.0.0-20170906232338-093a0c388875
"
k8s.io/kubelet-v0.0.0,k8s.io/kubelet,v0.0.0,"SPDXRef-Package-gomod-k8s.io-kubelet-v0.0.0
"
github.com/googleapis/gnostic-v0.0.0-20170729233727-0c5108395e2d,github.com/googleapis/gnostic,v0.0.0-20170729233727-0c5108395e2d,"SPDXRef-Package-gomod-github.com-googleapis-gnostic-v0.0.0-20170729233727-0c5108395e2d
"
github.com/Azure/azure-sdk-for-go-v21.4.0,github.com/Azure/azure-sdk-for-go,v21.4.0,"SPDXRef-Package-gomod-github.com-Azure-azure-sdk-for-go-v21.4.0C43incompatible
"
k8s.io/apiextensions-apiserver-v0.0.0,k8s.io/apiextensions-apiserver,v0.0.0,"SPDXRef-Package-gomod-k8s.io-apiextensions-apiserver-v0.0.0
"
github.com/sigma/go-inotify-v0.0.0-20181102212354-c87b6cf5033d,github.com/sigma/go-inotify,v0.0.0-20181102212354-c87b6cf5033d,"SPDXRef-Package-gomod-github.com-sigma-go-inotify-v0.0.0-20181102212354-c87b6cf5033d
"
github.com/docker/go-units-v0.3.3,github.com/docker/go-units,v0.3.3,"SPDXRef-Package-gomod-github.com-docker-go-units-v0.3.3
"
github.com/docker/distribution-v0.0.0-20170726174610-edc3ab29cdff,github.com/docker/distribution,v0.0.0-20170726174610-edc3ab29cdff,"SPDXRef-Package-gomod-github.com-docker-distribution-v0.0.0-20170726174610-edc3ab29cdff
"
github.com/mitchellh/mapstructure-v1.1.2,github.com/mitchellh/mapstructure,v1.1.2,"SPDXRef-Package-gomod-github.com-mitchellh-mapstructure-v1.1.2
"
github.com/Azure/go-autorest-v11.1.2,github.com/Azure/go-autorest,v11.1.2,"SPDXRef-Package-gomod-github.com-Azure-go-autorest-v11.1.2C43incompatible
"
github.com/daviddengcn/go-colortext-v0.0.0-20160507010035-511bcaf42ccd,github.com/daviddengcn/go-colortext,v0.0.0-20160507010035-511bcaf42ccd,"SPDXRef-Package-gomod-github.com-daviddengcn-go-colortext-v0.0.0-20160507010035-511bcaf42ccd
"
k8s.io/kube-proxy-v0.0.0,k8s.io/kube-proxy,v0.0.0,"SPDXRef-Package-gomod-k8s.io-kube-proxy-v0.0.0
"
github.com/prometheus/procfs-v0.0.0-20181204211112-1dc9a6cbc91a,github.com/prometheus/procfs,v0.0.0-20181204211112-1dc9a6cbc91a,"SPDXRef-Package-gomod-github.com-prometheus-procfs-v0.0.0-20181204211112-1dc9a6cbc91a
"
github.com/vishvananda/netns-v0.0.0-20171111001504-be1fbeda1936,github.com/vishvananda/netns,v0.0.0-20171111001504-be1fbeda1936,"SPDXRef-Package-gomod-github.com-vishvananda-netns-v0.0.0-20171111001504-be1fbeda1936
"
golang.org/x/sys-v0.0.0-20190312061237-fead79001313,golang.org/x/sys,v0.0.0-20190312061237-fead79001313,"SPDXRef-Package-gomod-golang.org-x-sys-v0.0.0-20190312061237-fead79001313
"
github.com/mattn/go-shellwords-v0.0.0-20180605041737-f8471b0a71de,github.com/mattn/go-shellwords,v0.0.0-20180605041737-f8471b0a71de,"SPDXRef-Package-gomod-github.com-mattn-go-shellwords-v0.0.0-20180605041737-f8471b0a71de
"
github.com/mohae/deepcopy-v0.0.0-20170603005431-491d3605edfb,github.com/mohae/deepcopy,v0.0.0-20170603005431-491d3605edfb,"SPDXRef-Package-gomod-github.com-mohae-deepcopy-v0.0.0-20170603005431-491d3605edfb
"
github.com/hashicorp/golang-lru-v0.5.0,github.com/hashicorp/golang-lru,v0.5.0,"SPDXRef-Package-gomod-github.com-hashicorp-golang-lru-v0.5.0
"
