kubernetesVersion,dependencyName-Version
kubernetes-1.29.0-alpha.1,google.golang.org/genproto/googleapis/rpc-v0.0.0-20230525234030-28d5490b6b19
kubernetes-1.29.0-alpha.1,golang.org/x/mod-v0.10.0
kubernetes-1.29.0-alpha.1,google.golang.org/protobuf-v1.31.0
kubernetes-1.29.0-alpha.1,google.golang.org/genproto-v0.0.0-20230526161137-0005af68ea54
kubernetes-1.29.0-alpha.1,github.com/Azure/azure-sdk-for-go-v68.0.0
kubernetes-1.29.0-alpha.1,github.com/prometheus/client_golang-v1.16.0
kubernetes-1.29.0-alpha.1,golang.org/x/net-v0.13.0
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/server/v3-v3.5.9
kubernetes-1.29.0-alpha.1,github.com/moby/sys/mountinfo-v0.6.2
kubernetes-1.29.0-alpha.1,github.com/peterbourgon/diskv-v2.0.1
kubernetes-1.29.0-alpha.1,github.com/robfig/cron/v3-v3.0.1
kubernetes-1.29.0-alpha.1,k8s.io/sample-apiserver-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/cluster-bootstrap-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/prometheus/procfs-v0.10.1
kubernetes-1.29.0-alpha.1,go.uber.org/zap-v1.19.0
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/client/pkg/v3-v3.5.9
kubernetes-1.29.0-alpha.1,github.com/cenkalti/backoff/v4-v4.2.1
kubernetes-1.29.0-alpha.1,github.com/google/cel-go-v0.17.6
kubernetes-1.29.0-alpha.1,github.com/modern-go/concurrent-v0.0.0-20180306012644-bacd9c7ef1dd
kubernetes-1.29.0-alpha.1,k8s.io/csi-translation-lib-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/tmc/grpc-websocket-proxy-v0.0.0-20220101234140-673ab2c3ae75
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/otel/exporters/otlp/otlptrace-v1.10.0
kubernetes-1.29.0-alpha.1,k8s.io/utils-v0.0.0-20230726121419-3b25d923346b
kubernetes-1.29.0-alpha.1,github.com/go-logr/zapr-v1.2.3
kubernetes-1.29.0-alpha.1,k8s.io/mount-utils-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/autorest/validation-v0.3.1
kubernetes-1.29.0-alpha.1,github.com/coredns/corefile-migration-v1.0.21
kubernetes-1.29.0-alpha.1,github.com/opencontainers/selinux-v1.11.0
kubernetes-1.29.0-alpha.1,gopkg.in/inf.v0-v0.9.1
kubernetes-1.29.0-alpha.1,k8s.io/api-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/pquerna/cachecontrol-v0.1.0
kubernetes-1.29.0-alpha.1,k8s.io/dynamic-resource-allocation-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/opencontainers/go-digest-v1.0.0
kubernetes-1.29.0-alpha.1,github.com/sirupsen/logrus-v1.9.0
kubernetes-1.29.0-alpha.1,k8s.io/kubectl-v0.0.0
kubernetes-1.29.0-alpha.1,gopkg.in/square/go-jose.v2-v2.6.0
