VERSION,VULNERABILITY
v1.24.6,CVE-2023-4911
v1.24.6,CVE-2023-4813
v1.24.6,CVE-2023-4806
v1.24.6,CVE-2019-9192
v1.24.6,CVE-2019-1010025
v1.24.6,CVE-2019-1010024
v1.24.6,CVE-2019-1010023
v1.24.6,CVE-2019-1010022
v1.24.6,CVE-2018-20796
v1.24.6,CVE-2010-4756
v1.24.6,CVE-2023-0464
v1.24.6,CVE-2023-0286
v1.24.6,CVE-2023-0215
v1.24.6,CVE-2022-4450
v1.24.6,CVE-2023-3817
v1.24.6,CVE-2023-3446
v1.24.6,CVE-2023-2650
v1.24.6,CVE-2023-0466
v1.24.6,CVE-2023-0465
v1.24.6,CVE-2022-4304
v1.24.6,CVE-2022-2097
v1.24.6,CVE-2010-0928
v1.24.6,CVE-2007-6755
v1.24.6,CVE-2023-5678
v1.26.1,CVE-2023-2253
v1.26.1,CVE-2023-44487
v1.26.1,CVE-2023-39325
v1.26.1,CVE-2022-41723
v1.26.1,CVE-2023-3978
v1.26.1,CVE-2023-3955
v1.26.1,CVE-2023-2728
v1.26.1,CVE-2023-2727
v1.26.1,CVE-2023-2431
v1.26.1,CVE-2023-4911
v1.26.1,CVE-2023-4813
v1.26.1,CVE-2023-4806
v1.26.1,CVE-2019-9192
v1.26.1,CVE-2019-1010025
v1.26.1,CVE-2019-1010024
v1.26.1,CVE-2019-1010023
v1.26.1,CVE-2019-1010022
v1.26.1,CVE-2018-20796
v1.26.1,CVE-2010-4756
v1.26.1,CVE-2023-0464
v1.26.1,CVE-2023-0286
v1.26.1,CVE-2023-0215
v1.26.1,CVE-2022-4450
v1.26.1,CVE-2023-3817
v1.26.1,CVE-2023-3446
v1.26.1,CVE-2023-2650
v1.26.1,CVE-2023-0466
v1.26.1,CVE-2023-0465
v1.26.1,CVE-2022-4304
v1.26.1,CVE-2022-2097
v1.26.1,CVE-2010-0928
v1.26.1,CVE-2007-6755
v1.26.1,CVE-2023-5678
v1.24.15,CVE-2023-4911
v1.24.15,CVE-2023-4813
v1.24.15,CVE-2023-4806
v1.24.15,CVE-2019-9192
v1.24.15,CVE-2019-1010025
v1.24.15,CVE-2019-1010024
v1.24.15,CVE-2019-1010023
v1.24.15,CVE-2019-1010022
v1.24.15,CVE-2018-20796
v1.24.15,CVE-2010-4756
v1.24.15,CVE-2023-3817
v1.24.15,CVE-2023-3446
v1.24.15,CVE-2010-0928
v1.24.15,CVE-2007-6755
v1.24.15,CVE-2023-5678
v1.25.4,CVE-2023-2253
v1.25.4,CVE-2023-45142
v1.25.4,CVE-2023-44487
v1.25.4,CVE-2023-39325
v1.25.4,CVE-2022-41723
v1.25.4,CVE-2022-41721
v1.25.4,CVE-2022-27664
v1.25.4,CVE-2023-3978
v1.25.4,CVE-2022-32149
v1.25.4,GHSA-m425-mq94-257g
v1.25.4,CVE-2023-3955
v1.25.4,CVE-2023-2728
v1.25.4,CVE-2023-2727
v1.25.4,CVE-2023-2431
v1.25.4,CVE-2021-25743
v1.25.9,CVE-2023-2253
v1.25.9,CVE-2023-45142
v1.25.9,CVE-2023-44487
v1.25.9,CVE-2023-39325
v1.25.9,CVE-2023-3978
v1.25.9,GHSA-m425-mq94-257g
v1.25.9,CVE-2023-3955
v1.25.9,CVE-2023-2728
v1.25.9,CVE-2023-2727
v1.25.9,CVE-2023-2431
v1.25.9,CVE-2021-25743
v1.25.12,CVE-2023-2253
v1.25.12,CVE-2023-44487
v1.25.12,CVE-2023-39325
v1.25.12,CVE-2023-3978
v1.25.12,CVE-2023-3955
v1.25.12,CVE-2021-25743
v1.25.12,CVE-2023-4911
v1.25.12,CVE-2023-4813
v1.25.12,CVE-2023-4806
v1.25.12,CVE-2019-9192
v1.25.12,CVE-2019-1010025
v1.25.12,CVE-2019-1010024
