NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY
libc6,2.31-13+deb11u4,2.31-13+deb11u7,deb,CVE-2023-4911,High
libc6,2.31-13+deb11u4,(won't fix),deb,CVE-2023-4813,Medium
libc6,2.31-13+deb11u4,(won't fix),deb,CVE-2023-4806,Medium
libc6,2.31-13+deb11u4, ,deb,CVE-2019-9192,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2019-1010025,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2019-1010024,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2019-1010023,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2019-1010022,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2018-20796,Negligible
libc6,2.31-13+deb11u4, ,deb,CVE-2010-4756,Negligible
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0464,High
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2023-0286,High
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2023-0215,High
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-4450,High
libssl1.1,1.1.1n-0+deb11u3,1.1.1v-0~deb11u1,deb,CVE-2023-3817,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1v-0~deb11u1,deb,CVE-2023-3446,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-2650,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0466,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0465,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-4304,Medium
libssl1.1,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-2097,Medium
libssl1.1,1.1.1n-0+deb11u3, ,deb,CVE-2010-0928,Negligible
libssl1.1,1.1.1n-0+deb11u3, ,deb,CVE-2007-6755,Negligible
libssl1.1,1.1.1n-0+deb11u3,(won't fix),deb,CVE-2023-5678,Unknown
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0464,High
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2023-0286,High
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2023-0215,High
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-4450,High
openssl,1.1.1n-0+deb11u3,1.1.1v-0~deb11u1,deb,CVE-2023-3817,Medium
openssl,1.1.1n-0+deb11u3,1.1.1v-0~deb11u1,deb,CVE-2023-3446,Medium
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-2650,Medium
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0466,Medium
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u5,deb,CVE-2023-0465,Medium
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-4304,Medium
openssl,1.1.1n-0+deb11u3,1.1.1n-0+deb11u4,deb,CVE-2022-2097,Medium
openssl,1.1.1n-0+deb11u3, ,deb,CVE-2010-0928,Negligible
openssl,1.1.1n-0+deb11u3, ,deb,CVE-2007-6755,Negligible
openssl,1.1.1n-0+deb11u3,(won't fix),deb,CVE-2023-5678,Unknown
github.com/docker/distribution,v2.8.1+incompatible,2.8.2-beta.1,go-module,CVE-2023-2253,Medium
golang.org/x/net,v0.3.1-0.20221206200815-1e63c2f08a10,0.17.0,go-module,CVE-2023-44487,High
golang.org/x/net,v0.3.1-0.20221206200815-1e63c2f08a10,0.17.0,go-module,CVE-2023-39325,High
golang.org/x/net,v0.3.1-0.20221206200815-1e63c2f08a10,0.7.0,go-module,CVE-2022-41723,High
golang.org/x/net,v0.3.1-0.20221206200815-1e63c2f08a10,0.13.0,go-module,CVE-2023-3978,Medium
k8s.io/kubernetes,v1.26.1,1.26.8,go-module,CVE-2023-3955,High
k8s.io/kubernetes,v1.26.1,1.26.6,go-module,CVE-2023-2728,Medium
k8s.io/kubernetes,v1.26.1,1.26.6,go-module,CVE-2023-2727,Medium
k8s.io/kubernetes,v1.26.1,1.26.5,go-module,CVE-2023-2431,Medium
libc6,2.31-13+deb11u5,2.31-13+deb11u7,deb,CVE-2023-4911,High
libc6,2.31-13+deb11u5,(won't fix),deb,CVE-2023-4813,Medium
libc6,2.31-13+deb11u5,(won't fix),deb,CVE-2023-4806,Medium
libc6,2.31-13+deb11u5, ,deb,CVE-2019-9192,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2019-1010025,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2019-1010024,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2019-1010023,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2019-1010022,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2018-20796,Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2010-4756,Negligible
libc6,2.31-13+deb11u6,2.31-13+deb11u7,deb,CVE-2023-4911,High
libc6,2.31-13+deb11u6,(won't fix),deb,CVE-2023-4813,Medium
libc6,2.31-13+deb11u6,(won't fix),deb,CVE-2023-4806,Medium
libc6,2.31-13+deb11u6, ,deb,CVE-2019-9192,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2019-1010025,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2019-1010024,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2019-1010023,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2019-1010022,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2018-20796,Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2010-4756,Negligible
libssl1.1,1.1.1n-0+deb11u5,1.1.1v-0~deb11u1,deb,CVE-2023-3817,Medium
libssl1.1,1.1.1n-0+deb11u5,1.1.1v-0~deb11u1,deb,CVE-2023-3446,Medium
libssl1.1,1.1.1n-0+deb11u5, ,deb,CVE-2010-0928,Negligible
libssl1.1,1.1.1n-0+deb11u5, ,deb,CVE-2007-6755,Negligible
libssl1.1,1.1.1n-0+deb11u5,(won't fix),deb,CVE-2023-5678,Unknown
openssl,1.1.1n-0+deb11u5,1.1.1v-0~deb11u1,deb,CVE-2023-3817,Medium
openssl,1.1.1n-0+deb11u5,1.1.1v-0~deb11u1,deb,CVE-2023-3446,Medium
openssl,1.1.1n-0+deb11u5, ,deb,CVE-2010-0928,Negligible
openssl,1.1.1n-0+deb11u5, ,deb,CVE-2007-6755,Negligible
openssl,1.1.1n-0+deb11u5,(won't fix),deb,CVE-2023-5678,Unknown
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,v0.20.0,0.44.0,go-module,CVE-2023-45142,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.17.0,go-module,CVE-2023-44487,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.17.0,go-module,CVE-2023-39325,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.7.0,go-module,CVE-2022-41723,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.1.1-0.20221104162952-702349b0e862,go-module,CVE-2022-41721,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.0.0-20220906165146-f3363e06e74c,go-module,CVE-2022-27664,High
golang.org/x/net,v0.0.0-20220722155237-a158d28d115b,0.13.0,go-module,CVE-2023-3978,Medium
golang.org/x/text,v0.3.7,0.3.8,go-module,CVE-2022-32149,High
google.golang.org/grpc,v1.47.0,1.56.3,go-module,GHSA-m425-mq94-257g,High
google.golang.org/grpc,v1.47.0,1.56.3,go-module,CVE-2023-44487,High
k8s.io/kubernetes,v1.25.4,1.25.13,go-module,CVE-2023-3955,High
k8s.io/kubernetes,v1.25.4,1.25.11,go-module,CVE-2023-2728,Medium
k8s.io/kubernetes,v1.25.4,1.25.11,go-module,CVE-2023-2727,Medium
k8s.io/kubernetes,v1.25.4,1.25.10,go-module,CVE-2023-2431,Medium
k8s.io/kubernetes,v1.25.4,1.26.0-alpha.3,go-module,CVE-2021-25743,Low
golang.org/x/net,v0.7.0,0.17.0,go-module,CVE-2023-44487,High
golang.org/x/net,v0.7.0,0.17.0,go-module,CVE-2023-39325,High
golang.org/x/net,v0.7.0,0.13.0,go-module,CVE-2023-3978,Medium
k8s.io/kubernetes,v1.25.9,1.25.13,go-module,CVE-2023-3955,High
k8s.io/kubernetes,v1.25.9,1.25.11,go-module,CVE-2023-2728,Medium
k8s.io/kubernetes,v1.25.9,1.25.11,go-module,CVE-2023-2727,Medium
